file,kind,name,from,to,trigger_keywords,examples
lang_会计学.json,language_to_entry,语言树→会计学联想通道,language/sentence_patterns.json,entries/会计学.json,发票|做账|资产|负债|报表|折旧|存货|成本|审计|税|收入|费用|利润|现金流|预算|合并|准则|增值税|所得税,"{""query"": ""这个设备的折旧怎么算"", ""route"": ""语言句法(解释请求)→会计入口→固定资产折旧节点→年限+残值+方法→给出算式""}|{""query"": ""企业所得税汇算要注意什么"", ""route"": ""语言句法(解释请求)→会计入口→税法节点→汇算清缴→纳税调整表→提醒要点""}"
lang_信息技术.json,language_to_entry,语言树→信息技术联想通道,language/sentence_patterns.json,entries/信息技术.json,计算机基础|程序设计|数据结构|网络通信,"{""query"": ""勾股定理是什么"", ""route"": ""language→sentence_pattern(解释请求)→数学入口→几何规律→勾股定理""}|{""query"": ""牛顿第二定律怎么用"", ""route"": ""language→sentence_pattern(解释请求)→物理入口→力学规律→F=ma""}"
lang_化学.json,language_to_entry,语言树→化学联想通道,language/sentence_patterns.json,entries/化学.json,物质结构|化学反应|元素化学|有机化学,"{""query"": ""勾股定理是什么"", ""route"": ""language→sentence_pattern(解释请求)→数学入口→几何规律→勾股定理""}|{""query"": ""牛顿第二定律怎么用"", ""route"": ""language→sentence_pattern(解释请求)→物理入口→力学规律→F=ma""}"
lang_历史.json,language_to_entry,语言树→历史联想通道,language/sentence_patterns.json,entries/历史.json,中国古代史|中国近现代史|世界古代史|世界近现代史,"{""query"": ""勾股定理是什么"", ""route"": ""language→sentence_pattern(解释请求)→数学入口→几何规律→勾股定理""}|{""query"": ""牛顿第二定律怎么用"", ""route"": ""language→sentence_pattern(解释请求)→物理入口→力学规律→F=ma""}"
lang_地理.json,language_to_entry,语言树→地理联想通道,language/sentence_patterns.json,entries/地理.json,自然地理|人文地理|中国地理|世界地理,"{""query"": ""勾股定理是什么"", ""route"": ""language→sentence_pattern(解释请求)→数学入口→几何规律→勾股定理""}|{""query"": ""牛顿第二定律怎么用"", ""route"": ""language→sentence_pattern(解释请求)→物理入口→力学规律→F=ma""}"
lang_思想政治.json,language_to_entry,语言树→思想政治联想通道,language/sentence_patterns.json,entries/思想政治.json,经济生活|政治生活|文化生活|哲学,"{""query"": ""勾股定理是什么"", ""route"": ""language→sentence_pattern(解释请求)→数学入口→几何规律→勾股定理""}|{""query"": ""牛顿第二定律怎么用"", ""route"": ""language→sentence_pattern(解释请求)→物理入口→力学规律→F=ma""}"
lang_数学.json,language_to_entry,语言树→数学联想通道,language/sentence_patterns.json,entries/数学.json,代数|几何|函数与分析|概率与统计|数论基础,"{""query"": ""勾股定理是什么"", ""route"": ""language→sentence_pattern(解释请求)→数学入口→几何规律→勾股定理""}|{""query"": ""牛顿第二定律怎么用"", ""route"": ""language→sentence_pattern(解释请求)→物理入口→力学规律→F=ma""}"
lang_物理.json,language_to_entry,语言树→物理联想通道,language/sentence_patterns.json,entries/物理.json,力学|热学|电磁学|光学|原子物理,"{""query"": ""勾股定理是什么"", ""route"": ""language→sentence_pattern(解释请求)→数学入口→几何规律→勾股定理""}|{""query"": ""牛顿第二定律怎么用"", ""route"": ""language→sentence_pattern(解释请求)→物理入口→力学规律→F=ma""}"
lang_生物.json,language_to_entry,语言树→生物联想通道,language/sentence_patterns.json,entries/生物.json,细胞生物学|遗传与进化|人体生理|生态学,"{""query"": ""勾股定理是什么"", ""route"": ""language→sentence_pattern(解释请求)→数学入口→几何规律→勾股定理""}|{""query"": ""牛顿第二定律怎么用"", ""route"": ""language→sentence_pattern(解释请求)→物理入口→力学规律→F=ma""}"
lang_英语.json,language_to_entry,语言树→英语联想通道,language/sentence_patterns.json,entries/英语.json,语法体系|词汇分类|阅读理解|写作表达,"{""query"": ""勾股定理是什么"", ""route"": ""language→sentence_pattern(解释请求)→数学入口→几何规律→勾股定理""}|{""query"": ""牛顿第二定律怎么用"", ""route"": ""language→sentence_pattern(解释请求)→物理入口→力学规律→F=ma""}"
