subject,id,type,answer,c11_pred,c14_pred,A,B,C,D,question,top_routes,top_terms
computer_network,6,concept_choice,C,C,B,4,5,6,7,数据链路层采用了后退N帧的(GBN)协议，如果发送窗口的大小是32，那么至少需要____位的序列号才能保证协议不出错。,ceval_seed.computer_network.003.传输层|ceval_seed.computer_network.004.网络层|ceval_seed.computer_network.005.在OSI参考模型中|ceval_seed.computer_network.006.应用层|ceval_seed.computer_network.007.数据链路层,传输层|网络层|在OSI参考模型中|应用层|数据链路层
operating_system,15,concept_choice,B,B,D,堆栈,队列,树,图,操作系统中应用最多的数据结构是____。,ceval_seed.operating_system.045.分段|auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_18|auto_neuron_FinEval_neurons_corporate_strategy_and_risk_management_18|auto_neuron_FinEval_neurons_public_finance_40|ceval_seed.veterinary_medicine.003.错误的是,分段|结构设计与协调|结构设计与协调|结构设计与协调|错误的是
operating_system,16,procedure_choice,B,B,D,都不可以,中断可以、但DMA不可以,都可以,中断不可以、但DMA可以,中断和DMA在操作过程中____嵌套。,auto_neuron_FinEval_neurons_banking_practitioner_qualification_certificate_103|auto_neuron_FinEval_neurons_corporate_strategy_and_risk_management_30|auto_neuron_FinEval_neurons_securities_practitioner_qualification_certificate_2|auto_neuron_FinEval_neurons_securities_practitioner_qualification_certificate_18|ceval_seed.computer_architecture.041.DMA,信用风险与合规流程|战略选择与实施|产品制度与合规|产品制度与合规|DMA
college_physics,8,concept_choice,B,B,C,场强E的大小与试探电荷q0的大小成反比,对场中某点，试探电荷受力F与q0的比值不因q0而变,试探电荷受力F的方向就是场强E的方向,若场中某点不放试探电荷q0，则F=0，从而E=0,关于电场强度定义式E=F/q0，下列说法中哪个是正确的？____,auto_neuron_FinEval_Accounting_neurons_management_accounting_10|auto_neuron_FinEval_Accounting_neurons_financial_management_12|auto_neuron_FinEval_neurons_financial_management_12|auto_neuron_FinEval_neurons_management_accounting_10|auto_neuron_FinEval_Accounting_neurons_tax_law_47,基本假设、要素与信息质量|现金流与资本成本|现金流与资本成本|基本假设、要素与信息质量|基本假设、要素与信息质量
college_physics,17,concept_choice,B,B,C,切向加速度必不为零,法向加速度必不为零（拐点处除外）,由于速度沿切线方向，法向分速度必为零，因此法向加速度必为零,若物体作匀速率运动，其总加速度必为零,对于沿曲线运动的物体，以下几种说法中哪一种是正确的____,ceval_seed.college_physics.019.只有|ceval_seed.college_physics.026.是正确的|ceval_seed.electrical_engineer.022.是正确的|ceval_seed.teacher_qualification.041.依法执教|auto_neuron_FinEval_Accounting_neurons_tax_law_15,只有|是正确的|是正确的|依法执教|基本假设、要素与信息质量
college_chemistry,11,concept_choice,C,C,A,$CrO_3$,$MnO_2$,$Mn_2O_7$,$WO_3$,常温下以液态形式存在的是____,ceval_seed.college_chemistry.016.Cr|ceval_seed.college_chemistry.002.2O|ceval_seed.college_chemistry.005.NH|ceval_seed.college_chemistry.014.CO|ceval_seed.college_chemistry.018.sp,Cr|2O|NH|CO|sp
college_chemistry,13,concept_choice,C,C,D,所有原子两者都相等,所有原子两者都不等,H的两者相等,Ne的两者相等,比较原子核外2s和2p原子轨道的能量，____,ceval_seed.electrical_engineer.012.km|ceval_seed.metrology_engineer.029.企业,km|企业
advanced_mathematics,5,concept_choice,B,B,D,$\frac{\pi ^2}{12}$,$\frac{\pi ^2}{8}$,$\frac{\pi ^2}{4}$,$\frac{\pi ^2}{2}$,已知$\int_0^{+\infty}{\frac{\sin x}{x}\mathrm{d}x=\frac{\pi}{2}}$，则$\int_0^{+\infty}{\int_0^{+\infty}{\frac{\sin x\sin\left(x+y\right)}{x\left(x+y\right)}}}\mathrm{d}x\mathrm{d}y$=____,ceval_seed.college_physics.001.frac|ceval_seed.college_physics.004.left|ceval_seed.college_physics.005.right|ceval_seed.college_physics.007.pi|ceval_seed.college_physics.011.mu,frac|left|right|pi|mu
discrete_mathematics,1,concept_choice,A,A,D,P∧Q,P→Q,P∧﹁Q,P→﹁Q,令P：天气很冷，Q：老王来了，则命题“虽然天气很冷，但是老王还是来了”可符号化为____,auto_neuron_FinEval_Accounting_neurons_corporate_strategy_and_risk_management_3|auto_neuron_FinEval_neurons_corporate_strategy_and_risk_management_3|ceval_seed.logic.008.但是|ceval_seed.civil_servant.004.但是,战略选择与实施|战略选择与实施|但是|但是
discrete_mathematics,3,negative_choice,C,C,B,"若简单图每个节点的度大于等于$\frac{n}{2}$,则$G$有$H$回路",简单图$G$存在$H$回路的充要条件是其闭合图存在$H$回路,简单图$G$的任意结点$v_i$，$v_j$之间恒有$d(v_{j})+d(v_{j})\geq n{-}1$， 则$G$存在$H$回路,简单图的闭合图唯一,下列说法错误的是____,ceval_seed.discrete_mathematics.040.回路|ceval_seed.discrete_mathematics.042.简单图|ceval_seed.discrete_mathematics.008.mathbf|auto_neuron_FinEval_neurons_econometrics_0|auto_neuron_FinEval_neurons_fund_qualification_certificate_68,回路|简单图|mathbf|估计量与置信区间|产品制度与合规
