subject,domain,count
FinEval,banking_practitioner_qualification_certificate,121
FinEval,fund_qualification_certificate,73
FinEval,tax_law,50
FinEval_Accounting,tax_law,50
FinEval,monetary_finance,48
FinEval,microeconomics,45
FinEval,public_finance,45
FinEval,financial_markets,44
FinEval,futures_practitioner_qualification_certificate,44
FinEval,investments,43
FinEval,china_actuary,42
FinEval,accounting,41
FinEval,corporate_finance,41
FinEval_Accounting,accounting,41
FinEval,statistics,40
FinEval,certified_practising_accountant,39
FinEval,cost_accounting,39
FinEval_Accounting,cost_accounting,39
FinEval,corporate_strategy_and_risk_management,38
FinEval,insurance,38
FinEval_Accounting,corporate_strategy_and_risk_management,38
FinEval,auditing,37
FinEval_Accounting,auditing,37
FinEval,macroeconomics,36
FinEval,management_accounting,34
FinEval_Accounting,management_accounting,34
FinEval,central_banking,33
经济学,微观经济学,33
FinEval,financial_engineering,31
FinEval,intermediate_financial_accounting,31
FinEval_Accounting,intermediate_financial_accounting,31
FinEval,economic_law,30
FinEval,finance,30
FinEval_Accounting,economic_law,30
FinEval,financial_management,29
FinEval_Accounting,financial_management,29
FinEval,political_economy,28
FinEval,securities_practitioner_qualification_certificate,27
经济学,宏观经济学,27
FinEval,advanced_financial_accounting,26
FinEval_Accounting,advanced_financial_accounting,26
FinEval,commercial_bank_finance,25
FinEval,international_economics,25
经济学,金融计算,24
FinEval,certified_management_accountant,23
FinEval,econometrics,23
经济学,国际金融,23
FinEval,international_finance,22
经济学,商业银行,21
经济学,金融衍生工具,20
会计学,中级财务会计,19
经济学,中央银行,19
会计学,2026实时知识,18
经济学,财政学,18
地理,自然地理,17
会计学,税法,16
会计学,基础会计,15
会计学,高级财务会计,14
统计学,统计学公式模板,14
物理,初中物理_声光热力电,13
经济学,银行理财与信贷,13
会计学,管理会计,12
法学,经济法,12
经济学,债券与衍生品,12
经济学,金融学,12
会计学,审计学,11
数学,函数,11
数学,概率与统计,11
统计学,统计学基础概念,11
会计学,成本会计,10
会计学,税额计算,10
会计学,财务管理,10
数学,初中代数,10
经济学,期货与衍生品,10
经济学,货币金融,10
信息技术,初中信息,9
化学,有机化学,9
地理,人文地理,9
化学,初中化学,8
历史,中国古代史,8
思想政治,哲学,8
思想政治,经济,8
数学,三角函数,8
数学,导数与微积分,8
法学,证券法,8
生物,初中生物,8
经济学,金融市场,8
历史,世界近现代史,7
历史,中国近现代史,7
数学,初中几何,7
数学,解析几何,7
经济学,公共财政,7
经济学,公司金融,7
语文,语言文字,7
会计学,会计核算方法,6
信息技术,计算机基础,6
化学,元素及其化合物,6
地理,初中地理,6
经济学,基金投资,6
经济学,套期保值与价差交易,6
经济学,投资学,6
经济学,私募股权,6
英语,初中英语,6
会计学,会计理论前沿,5
会计学,长期股权投资,5
信息技术,算法与数据结构,5
化学,水溶液中的离子平衡,5
化学,物质结构与周期律,5
历史,初中历史_中国,5
数学,小学算术,5
数学,立体几何,5
物理,力与牛顿定律,5
物理,运动学,5
生物,细胞代谢,5
生物,遗传与变异,5
管理学,战略控制与风险,5
经济学,金融工程,5
语文,初中语文,5
会计学,企业并购专题,4
会计学,会计假设与原则,4
会计学,会计理论研究,4
会计学,公司治理专题,4
会计学,投资性房地产,4
会计学,税法实务,4
会计学,职工薪酬,4
会计学,财务报表,4
会计学,高级财务分析与估值,4
会计语言抽象,会计概念提取,4
数学,代数,4
数学,几何,4
数学,函数与分析,4
数学,数列,4
法学,证券公司合规,4
物理,光学,4
物理,力学,4
物理,功与能,4
物理,曲线运动与万有引力,4
物理,热学,4
物理,电场,4
物理,电路,4
生物,稳态与调节,4
生物,细胞,4
管理学,战略管理,4
英语,语法_时态语态,4
语文,文言文,4
会计学,会计职业道德与法规,3
会计学,公司治理与内部控制,3
会计学,学术研究方法,3
会计学,审计理论与实务进阶,3
会计学,并购与重组,3
会计学,无形资产与研发,3
会计学,税务筹划专题,3
会计学,管理会计前沿,3
会计学,资产减值,3
会计学,资本市场与会计信息,3
会计语言抽象,会计判断类型,3
会计语言抽象,会计场景识别,3
保险精算,非寿险精算,3
化学,化学反应,3
化学,化学反应与能量,3
化学,化学反应速率与平衡,3
化学,物质结构,3
化学,电化学,3
历史,初中历史_世界,3
历史,历史方法论,3
地理,区域地理,3
数学,不等式,3
数学,集合与逻辑,3
物理,动量,3
物理,原子物理,3
物理,电磁学,3
物理,电磁感应,3
物理,磁场,3
生物,生态,3
生物,细胞的生命历程,3
生物,进化,3
生物,遗传与进化,3
管理学,组织结构,3
经济学,期权与风险管理,3
英语,写作,3
英语,语法_从句,3
英语,语法_其他,3
英语,语法体系,3
会计学,商业伦理,2
会计学,国际会计,2
会计学,所有者权益,2
会计学,现金流量表,2
会计学,税收规律,2
会计学,财务分析与估值,2
会计学,财务指标,2
会计学,财务管理规律,2
会计学,金融负债,2
会计学,金融负债与债券,2
会计学,长期股权投资与企业合并,2
保险精算,寿险精算,2
信息技术,信息安全,2
信息技术,程序设计,2
信息技术,编程语言基础,2
化学,物质的量,2
思想政治,政治,2
思想政治,文化,2
思想政治,经济生活,2
物理,交流电,2
物理,机械振动与波,2
生物,细胞生物学,2
经济学,财务管理,2
语文,写作,2
语文,文学鉴赏,2
语文,诗歌鉴赏,2
会计学,企业合并,1
会计学,保险会计,1
会计学,无形资产,1
保险精算,信度理论,1
信息技术,数据库基础,1
信息技术,数据结构,1
历史,世界古代史,1
法学,期货与衍生品法,1
英语,词汇分类,1
语文,写作方法,1
语文,文学常识,1
