route_id,name,source_subject,source_domain,discipline_refined,module_refined,upper_concept_refined,sub_concept_refined,node_type,first_order_relation_type,exception_flag_refined,review_reason,exception_gap,content
manual_tax_vehicle_vessel_tax_regular_exemption,车船税法定免税项目,会计学,税法,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,regulation_or_standard,regulation_peer,,,standard_vs_exam_conflict_guard_missing,车船税法定免税通常包括捕捞、养殖渔船以及军队、武警专用车船等；非机动驳船、拖船等通常按规定减征或折算，不当然属于完全免税。
manual_afa_functional_currency_measurement_scale,记账本位币作为统一计量尺度,会计学,高级财务会计,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,企业通常选择一种货币作为会计确认、计量和报告的统一计量尺度，用于统一记录和反映各项经济业务，这种货币称为记账本位币。
manual_ifa_intangible_amortization_pattern,无形资产摊销方法选择,会计学,无形资产与研发,会计学大类,财务会计,资产,确认、计量与减值,regulation_or_standard,regulation_peer,,,standard_vs_exam_conflict_guard_missing,使用寿命有限的无形资产，其摊销方法应反映与该无形资产有关的经济利益预期实现方式；无法可靠确定预期实现方式的，通常采用直线法摊销。使用寿命不确定的无形资产不摊销但需减值测试。
manual_ifa_equity_profit_loss_covering,弥补亏损后的所有者权益变动,会计学,所有者权益,会计学大类,财务会计,负债,现时义务与摊余成本,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,企业以前年度亏损可用以后年度利润弥补；董事会提出但未经股东大会批准的利润分配方案通常不确认负债，不减少所有者权益。
manual_ifa_retained_earnings_components,留存收益构成,会计学,所有者权益,会计学大类,财务会计,所有者权益,权益变动与分配,concept,contrast,,,negative_question_guard_missing,留存收益由盈余公积和未分配利润构成；实收资本和资本公积属于所有者权益，但不属于留存收益。
manual_acc_common_control_longterm_investment_goodwill,同控合并长投成本含原商誉,会计学,长期股权投资与企业合并,会计学大类,高级财务会计,合并与特殊会计,合并报表与特殊事项,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,同一控制下企业合并形成长期股权投资，初始投资成本按合并日取得被合并方在最终控制方合并报表中的所有者权益账面价值份额确定；最终控制方收购被合并方形成的商誉应一并考虑，直接相关中介费用通常计入当期损益。
manual_acc_investment_property_cost_to_fair_value,投资性房地产成本模式转公允价值模式,会计学,投资性房地产,会计学大类,税法,企业所得税,应纳税所得额与抵免,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,投资性房地产从成本模式变更为公允价值模式属于会计政策变更，转换日公允价值与账面价值的差额扣除所得税影响后调整留存收益，通常通过盈余公积和未分配利润反映，不计入当期损益。
manual_acc_investment_property_reconstruction,出租房地产改扩建期间列报,会计学,投资性房地产,会计学大类,财务会计,资产,确认、计量与减值,concept,prerequisite,,,standard_vs_exam_conflict_guard_missing,已出租建筑物转入改扩建且未来仍用于出租的，改扩建期间通常继续作为投资性房地产核算；符合资本化条件的后续支出计入投资性房地产成本，改扩建期间通常不计提折旧。
manual_futures_calendar_spread_narrowing,跨期价差缩小交易,经济学,套期保值与价差交易,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,同一品种跨期交易中，若买入近月合约同时卖出远月合约，通常是在预期未来价差缩小或近月相对走强。
manual_futures_basis_profit_short_hedge,基差与卖出套期保值盈亏,经济学,套期保值与价差交易,经济学大类,经济学,经济学基础,资源配置与制度分析,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,卖出套期保值中，基差变强通常有利；若已知合约吨数与净盈利，可由净盈利/总吨数反推平仓时基差变化。
manual_futures_cbot_1848_foundation,CBOT成立节点,经济学,期货与衍生品,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,concept,same_domain,,,multi_number_anchor_guard_missing,1848年，芝加哥82位商人发起组建芝加哥期货交易所 CBOT。
manual_futures_forward_advantage_flexibility,远期合约灵活性优势,经济学,期货与衍生品,管理学大类,管理学,管理基础,组织、战略与决策,regulation_or_standard,regulation_peer,,,standard_vs_exam_conflict_guard_missing,远期合约相较标准化期货的主要优点是可依据交易双方需要灵活订立，但流动性和信用风险管理通常弱于交易所期货。
manual_futures_zhengzhou_exchange_products,郑商所主要品种边界,经济学,期货与衍生品,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,concept,contrast,,,negative_question_guard_missing,郑州商品交易所上市品种以农产品、能源化工等商品期货为主，白糖期货属于郑商所品种；铜期货、国债期货不属于郑商所典型品种。
manual_futures_cme_1972_fx_futures,CME外汇期货起源,经济学,期货与衍生品,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,concept,same_domain,,,multi_number_anchor_guard_missing,芝加哥商业交易所 CME 于1972年5月推出外汇期货交易，这是现代金融期货发展的重要节点。
manual_futures_margin_ratio_common,期货保证金比例常见区间,经济学,期货与衍生品,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing|standard_vs_exam_conflict_guard_missing,期货交易采取保证金制度，保证金通常按合约价值一定比例收取；资格考试常见口径为合约价值的5%至15%。
manual_futures_derivatives_law_effective_date,期货和衍生品法施行日期,法学,期货与衍生品法,金融监管与从业资格大类,期货从业与监管,期货交易与风险管理,保证金、套保与套利,regulation_or_standard,regulation_peer,,,multi_number_anchor_guard_missing,《中华人民共和国期货和衍生品法》由全国人大常委会通过后，自2022年8月1日起施行。
manual_sec_compliance_off_balance_sheet_business,表外业务定义,法学,证券公司合规,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,regulation_or_standard,regulation_peer,,,legacy_or_exam口径_guard_missing,商业银行表外业务是指按现行会计准则不计入资产负债表内、不形成现实资产负债，但能够引起当期损益变动的业务。
manual_seclaw_disqualified_exchange_head_five_year,证券交易所负责人任职限制,法学,证券法,金融监管与从业资格大类,证券从业与监管,证券发行交易与合规,发行、承销与信息披露,regulation_or_standard,regulation_peer,,,standard_vs_exam_conflict_guard_missing,证券交易场所、证券登记结算机构人员或证券公司董监高因违法违纪被免职的，自解除职务之日起五年内通常不得担任证券交易所负责人。
manual_seclaw_public_offering_200_boundary,公开发行证券人数边界,法学,证券法,金融监管与从业资格大类,证券从业与监管,证券发行交易与合规,发行、承销与信息披露,regulation_or_standard,regulation_peer,,,standard_vs_exam_conflict_guard_missing,向特定对象发行证券累计超过二百人的，通常构成公开发行；依法实施员工持股计划的员工人数按规则可不计入特定对象累计人数。
manual_econlaw_unlisted_public_company_boundary,非上市公众公司边界,法学,经济法,法学与监管大类,经济法,证券法律制度,发行交易与信息披露,regulation_or_standard,regulation_peer,,,standard_vs_exam_conflict_guard_missing,非上市公众公司包括股票向特定对象发行或转让导致股东累计超过200人的股份有限公司，以及依法公开转让股票的股份有限公司等；相关公开转让通常需经证监会核准并在全国股转系统进行。
manual_econlaw_listed_company_guarantee_disclosure,上市公司对外担保披露时点,法学,经济法,法学与监管大类,经济法,证券法律制度,发行交易与信息披露,regulation_or_standard,regulation_peer,,,standard_vs_exam_conflict_guard_missing,上市公司对外担保事项达到披露标准时，通常在董事会或股东大会形成决议时及时披露。
manual_econlaw_listed_company_quarter_report_deadline,上市公司季报披露期限,法学,经济法,法学与监管大类,经济法,证券法律制度,发行交易与信息披露,regulation_or_standard,regulation_peer,,,standard_vs_exam_conflict_guard_missing,上市公司季度报告通常应在会计年度前三个月、九个月结束后一个月内编制披露。
manual_econlaw_movable_property_right_boundary,动产物权类型边界,法学,经济法,法学与监管大类,经济法,物权法,物的分类与权利边界,regulation_or_standard,regulation_peer|contrast,,,negative_question_guard_missing,建设用地使用权属于不动产用益物权，不属于动产物权。
manual_econlaw_property_right_object,物权客体,法学,经济法,法学与监管大类,经济法,物权法,物的分类与权利边界,regulation_or_standard,regulation_peer,,,standard_vs_exam_conflict_guard_missing,民法典物权编所称物通常指有体物；权利在法律规定情形下也可作为物权客体。
manual_econlaw_bill_amount_mismatch_invalid,票据金额大小写不一致,法学,经济法,法学与监管大类,经济法,票据法,票据行为与效力,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,票据金额大小写不一致的，票据通常无效。
manual_strategy_m_division_structure_advantage,多事业部结构优缺点,管理学,组织结构,管理学大类,组织管理,组织结构,结构设计与协调,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,多事业部结构有利于业务成长、分部绩效衡量和减轻总部负担；产品或区域职能人员联系更直接通常不是其典型优点。
manual_strategy_internal_relationship_coordination,组织内部关系协调,管理学,组织结构,管理学大类,组织管理,组织结构,结构设计与协调,abstraction_or_regularity,abstraction_peer|contrast,,,negative_question_guard_missing,调整组织结构内部管理关系时，重点考虑集权与分权、中层管理人员调整、协同与激励等，不属于外部融资问题。
manual_strategy_company_mission_change,公司宗旨变化,管理学,战略管理,管理学大类,战略管理,公司战略,战略选择与实施,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,公司业务范围、经营领域和服务对象发生显著扩展，通常体现公司宗旨变化，而非仅经营哲学或战略层次变化。
manual_tax_land_price_in_property_original_value,房产税地价并入规则,会计学,税额计算,会计学大类,税法,房产税,计税依据与税率,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing,宗地容积率低于0.5的，按房产建筑面积的2倍计算土地面积并据以确定计入房产原值的地价。
manual_tax_ad_valorem_property_tax,从价房产税,会计学,税额计算,会计学大类,税法,房产税,计税依据与税率,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,房产税从价计征时通常按房产原值扣除规定比例后的余值乘适用税率计算；出租部分可按租金收入从租计征。
manual_tax_personal_rental_housing_property_tax,个人出租住房房产税,会计学,税额计算,会计学大类,税法,房产税,计税依据与税率,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,个人出租住房通常按租金收入适用优惠税率计征房产税，常见口径为4%，按实际出租月份计算。
manual_tax_vehicle_purchase_refund,车辆购置税退税,会计学,税额计算,会计学大类,税法,车辆购置税,计税价格与退税,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,已缴车辆购置税的车辆因质量等原因退回的，退税额通常按已缴税款每满一年扣减10%计算。
manual_tax_vehicle_purchase_tax_basis,车辆购置税计税价格,会计学,税额计算,会计学大类,税法,车辆购置税,计税价格与退税,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,车辆购置税以实际支付给销售方的全部价款为计税价格，价外费用和销售方开具普通发票的装饰、工具等可并入；保险公司单独开票的保险费通常不并入。
manual_tax_auction_purchase_tax_basis,竞拍所得计税基础,会计学,税额计算,会计学大类,税法,增值税,征税范围、税率与抵扣,formula_or_calculation,formula_neighbor|prerequisite,,,standard_vs_exam_conflict_guard_missing,企业竞拍取得物品并取得增值税专用发票时，计税基础可包含价款和不可抵扣税费；为竞拍另行支付的佣金等通常不并入竞拍所得物品计税基础。
manual_tax_urban_maintenance_construction_tax_base,城市维护建设税计税基础,会计学,税额计算,会计学大类,税法,增值税,征税范围、税率与抵扣,formula_or_calculation,formula_neighbor|prerequisite,,,standard_vs_exam_conflict_guard_missing,城建税以实际缴纳的增值税、消费税等为计税依据；进口环节缴纳的增值税、消费税通常不作为城建税计税依据，委托加工代收代缴消费税按受托方所在地税率处理。
manual_tax_administrative_penalty_hearing,税务行政处罚听证门槛,会计学,税法,会计学大类,组织管理,组织结构,结构设计与协调,regulation_or_standard,regulation_peer,,,standard_vs_exam_conflict_guard_missing,税务机关对公民、法人或其他组织作出较大数额罚款等行政处罚前，应告知其听证权利；对非经营组织较大额罚款通常触发听证要求。
manual_tax_late_payment_surcharge,税收滞纳金,会计学,税法,会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,逾期缴纳税款的滞纳金通常按滞纳税款金额、滞纳天数和日万分之五计算。
manual_inv_protective_put_breakeven,看跌期权保护性头寸保本价格,经济学,债券与衍生品,金融学大类,投资学,债券定价与久期,利率敏感性与收益率,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,购买股票并买入看跌期权的保护性头寸，保本股票价格通常为执行价减去期权费。
manual_inv_coupon_bond_reinvestment_risk,息票债券再投资风险,经济学,债券与衍生品,金融学大类,投资学,债券定价与久期,利率敏感性与收益率,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,同期限、同到期收益率下，息票债券因中间现金流需再投资，通常比零息债券承担更高再投资风险。
manual_inv_discount_bond_price_convergence,折价债券价格收敛,经济学,债券与衍生品,金融学大类,投资学,债券定价与久期,利率敏感性与收益率,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,若票面利率低于到期收益率，债券折价交易；在收益率不变时，随到期临近价格通常向面值上升收敛。
manual_inv_henriksson_market_timing_beta,Henriksson市场时机实证结论,经济学,投资学,金融学大类,投资学,资产定价,风险收益与估值,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,Henriksson(1984)发现共同基金在市场扩张时期的β值通常略微下降，属实证历史结论，精确使用。
manual_inv_bjs_capm_empirical_slope,BJS CAPM实证斜率,经济学,投资学,金融学大类,投资学,资产定价,风险收益与估值,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,Black、Jensen、Scholes 的实证研究发现证券市场线斜率通常小于 CAPM 预测斜率，属实证历史结论，精确使用。
manual_fund_equity_repurchase_process,股权回购流程,经济学,私募股权,经济学大类,经济学,经济学基础,资源配置与制度分析,procedure,question_peer,,,standard_vs_exam_conflict_guard_missing,股权回购的基本流程通常包括发起、协商、执行和变更登记。
manual_fund_lbo_model_elements,杠杆收购模型要素,经济学,私募股权,经济学大类,经济学,经济学基础,资源配置与制度分析,abstraction_or_regularity,abstraction_peer,,,standard_vs_exam_conflict_guard_missing,构建杠杆收购财务模型通常包括收购前模型、融资与交易假设、收购后模型等，交易参与主体通常不是模型主要输入。
manual_fund_dividend_nav_effect,基金分红对份额净值影响,经济学,基金投资,会计学大类,金融监管与从业资格,证券基金市场监管,产品制度与合规,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,基金分红会使基金资产净值减少，除权后基金份额净值通常下降。
manual_bp_collateral_loan_limit,抵押贷款额度,经济学,金融计算,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,formula_or_calculation,formula_neighbor|prerequisite,,,standard_vs_exam_conflict_guard_missing,抵押贷款额通常按评估价值与抵押贷款率计算，审慎时以评估值而非市场价为基础。
manual_bp_normal_95_interval,正态分布95%区间,经济学,金融计算,统计学大类,概率统计,概率分布,随机变量与分布,formula_or_calculation,formula_neighbor,,,multi_number_anchor_guard_missing|standard_vs_exam_conflict_guard_missing,近似正态分布下，95%区间通常约为均值±2个标准差。
manual_bp_creditor_protection_limitation,债权保护诉讼时效,经济学,银行理财与信贷,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,regulation_or_standard,regulation_peer,,,standard_vs_exam_conflict_guard_missing,向人民法院申请保护债权的诉讼时效期间通常为3年。
manual_bp_credit_investigation_5c,贷款调查5C原则,经济学,银行理财与信贷,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,regulation_or_standard,regulation_peer,,,multi_number_anchor_guard_missing,银行调查人员初次面谈可按国际信用5C标准原则集中获取客户信息。
manual_bp_loan_disbursement_operation_order,贷款发放操作顺序,经济学,银行理财与信贷,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,procedure,question_peer,,,standard_vs_exam_conflict_guard_missing,贷款发放通常先由借款人提交提款申请及资料，银行受理，再进行发放审查、内部审批签字，最后办理提款手续。
manual_bp_client_financial_goals,客户理财目标表述,经济学,银行理财与信贷,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,客户理财目标通常包括经济目标、人生价值目标和精神追求；“短暂目标”不是准确表述。
manual_bp_financial_planner_privacy_boundary,理财规划客户信息收集,经济学,银行理财与信贷,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,concept,contrast,,,negative_question_guard_missing,理财规划师收集客户信息应引导客户说明财务问题，但不能无边界询问客户隐私。
manual_bp_housing_fund_loan_exclusion,公积金贷款禁入情形,经济学,银行理财与信贷,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,concept,same_domain,,,standard_vs_exam_conflict_guard_missing,全国范围内已有2笔及以上公积金贷款记录，通常不可以再申请公积金个人住房贷款。
manual_bp_collateral_management_flow,押品管理流程,经济学,银行理财与信贷,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,formula_or_calculation,formula_neighbor,,,standard_vs_exam_conflict_guard_missing,押品管理通常按材料受理、审查、押品价值评估、抵质押权设立与变更、日常管理、返还与处置等流程推进。
manual_bp_qualified_investor_private_wealth,私募理财合格投资者,经济学,银行理财与信贷,金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,regulation_or_standard,regulation_peer,,,multi_number_anchor_guard_missing|standard_vs_exam_conflict_guard_missing,私募理财合格投资者通常需具备风险识别承受能力和2年以上投资经历；法人或组织净资产门槛一般为最近1年末不低于1000万元而非2000万元。
