card_id,ceval_subject,ceval_chinese_name,discipline,module,upper_concept,sub_concept,node_type,matched_question_count,definition_clue_count,regularity_clue_count,trap_clue_count,example_count,needs_authoritative_upgrade
ceval_card.computer_network.001.SYN,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,SYN,formula_or_calculation,4,0,0,0,4,True
ceval_card.computer_network.002.seq,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,seq,formula_or_calculation,3,0,0,0,3,True
ceval_card.computer_network.003.传输层,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,传输层,concept,15,1,0,0,8,True
ceval_card.computer_network.004.网络层,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,网络层,concept,12,1,0,0,8,True
ceval_card.computer_network.005.在OSI参考模型中,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,在OSI参考模型中,formula_or_calculation,8,1,0,0,8,True
ceval_card.computer_network.006.应用层,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,应用层,formula_or_calculation,10,1,0,0,8,True
ceval_card.computer_network.007.数据链路层,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,数据链路层,concept,21,0,0,0,8,True
ceval_card.computer_network.008.坚持CSMA,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,坚持CSMA,concept,3,0,0,0,3,True
ceval_card.computer_network.009.ack,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,ack,formula_or_calculation,3,0,0,0,3,True
ceval_card.computer_network.010.TCP,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,TCP,formula_or_calculation,59,0,0,0,8,True
ceval_card.computer_network.011.路由器,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,路由器,formula_or_calculation,8,2,0,0,8,True
ceval_card.computer_network.012.协议,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,协议,concept,58,3,3,0,8,True
ceval_card.computer_network.013.表示层,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,表示层,formula_or_calculation,5,1,0,0,5,True
ceval_card.computer_network.014.ACK,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,ACK,formula_or_calculation,7,0,0,0,7,True
ceval_card.computer_network.015.8KB,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,8KB,formula_or_calculation,6,0,0,0,6,True
ceval_card.computer_network.016.会话层,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,会话层,formula_or_calculation,6,1,0,0,6,True
ceval_card.computer_network.017.坚持型CSMA,computer_network,计算机网络,信息技术大类,计算机科学,系统、网络与程序设计,坚持型CSMA,concept,2,0,0,0,2,True
