discipline,module,upper_concept,sub_concept,route_count,suggested_children,sample_route_ids,sample_names
自然科学大类,自然科学,基础科学,自然规律与模型,196,,auto_neuron_FinEval_neurons_corporate_strategy_and_risk_management_15|auto_neuron_化学_neurons_物质的量_0|auto_neuron_化学_neurons_物质的量_1|auto_neuron_化学_neurons_物质结构与周期律_0|auto_neuron_化学_neurons_物质结构与周期律_1|auto_neuron_化学_neurons_物质结构与周期律_2|auto_neuron_化学_neurons_物质结构与周期律_3|auto_neuron_化学_neurons_物质结构与周期律_4|auto_neuron_化学_neurons_化学反应与能量_0|auto_neuron_化学_neurons_化学反应与能量_1|auto_neuron_化学_neurons_化学反应与能量_2|auto_neuron_化学_neurons_化学反应速率与平衡_0|auto_neuron_化学_neurons_化学反应速率与平衡_1|auto_neuron_化学_neurons_化学反应速率与平衡_2|auto_neuron_化学_neurons_水溶液中的离子平衡_0,某公司产品遍布全球多个国家，其会对不同的用户提供不同标准产品，比如航空航天企业所需的产品安全标准远高于普通工业企业产品。 | 物质的量n | 物质的量浓度 | 原子结构 | 核外电子排布
会计学大类,财务会计,会计基础与报表列报,基本假设、要素与信息质量,195,会计基本假设|会计信息质量|财务报表列报|会计要素,manual_tax_vehicle_vessel_tax_regular_exemption|manual_afa_foreign_operation_meaning|manual_afa_functional_currency_measurement_scale|manual_tax_constitution_tax_obligation|manual_tax_penalty_rulemaking_authority|manual_tax_consumption_tax_scope|manual_tax_consumption_tax_jewelry_scope|manual_tax_late_payment_surcharge|manual_central_bank_accounting_report_requirements|manual_acc_insurance_solvency_goal|manual_acc_entry|auto_neuron_FinEval_Accounting_neurons_accounting_3|auto_neuron_FinEval_Accounting_neurons_accounting_7|auto_neuron_FinEval_Accounting_neurons_accounting_8|auto_neuron_FinEval_Accounting_neurons_accounting_12,车船税法定免税项目 | 境外经营含义 | 记账本位币作为统一计量尺度 | 宪法纳税义务 | 税务行政处罚设定权限
金融监管与从业资格大类,银行业监管与从业,商业银行风险与业务,信用、资本与流程监管,162,授信与贷款流程|资本充足监管|个人理财合规|信用风险分类,manual_sec_compliance_off_balance_sheet_business|manual_bp_collateral_loan_limit|manual_bp_monthly_payment_present_value|manual_bp_annuity_loan_rate_reverse|manual_bp_entrusted_payment_exclusion|manual_bp_corporate_credit_management_principles|manual_bp_creditor_protection_limitation|manual_bp_credit_investigation_5c|manual_bp_loan_disbursement_operation_order|manual_bp_client_financial_goals|manual_bp_financial_market_fund_intermediation|manual_bp_financial_planner_privacy_boundary|manual_bp_commercial_property_loan_review|manual_bp_housing_fund_loan_exclusion|manual_bp_personal_credit_report_query,表外业务定义 | 抵押贷款额度 | 月供贷款现值 | 年金贷款利率反推 | 受托支付例外
会计学大类,财务会计,资产,确认、计量与减值,157,存货|固定资产|无形资产|投资性房地产|长期股权投资|资产减值|金融资产,manual_ifa_equity_method_fair_value_depreciation_adjustment|manual_ifa_lti_non_cash_asset_exchange_equity_method|manual_ifa_lti_partial_disposal_equity_to_cost|manual_ifa_intangible_impairment_development_completion|manual_ifa_r_and_d_research_development_capitalization|manual_ifa_intangible_amortization_pattern|manual_ifa_investment_property_disposal_profit|manual_ifa_investment_property_cost_impairment_carrying|manual_acc_asset_future_cash_flow_period|manual_acc_investment_property_reconstruction|manual_acc_intangible_deferred_payment_initial|manual_fund_asset_liability_ratio|manual_fund_owner_equity_formula|manual_bp_portfolio_return_weighted_average|manual_fm_asset_allocation_strategies,权益法净利润公允价值调整 | 非现金资产取得权益法长投损益 | 长投部分处置权益法转成本法 | 在研无形资产减值测试 | 研发支出研究开发阶段区分
金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,113,,manual_futures_fx_swap_definition|manual_futures_interest_rate_floor_payoff|manual_futures_call_option_buyer_profit|manual_futures_fx_hedge_receivable_pound|manual_futures_spread_order_execution|manual_futures_calendar_spread_narrowing|manual_futures_cbot_1848_foundation|manual_futures_zhengzhou_exchange_products|manual_futures_drawdown_risk_control|manual_futures_var_confidence_meaning|manual_futures_wave_theory_elliott|manual_futures_cme_1972_fx_futures|manual_futures_margin_ratio_common|manual_cf_put_call_parity|manual_fm_basis_weakening_hedge,外汇掉期定义 | 利率下限期权支付逻辑 | 看涨期权买方净收益 | 英镑应收款套保方向 | 价差限价指令成交条件
金融学大类,银行与货币金融,货币金融与中央银行,货币政策与汇率利率,106,,manual_cf_fisher_inflation_reverse|manual_cf_effective_annual_rate|manual_fm_fisher_real_rate_exact|manual_fm_effective_annual_rate_compounding|manual_mf_financial_deepening_definition|manual_mf_credit_expansion_money_supply|manual_mf_keynes_classical_difference|manual_mf_long_run_money_neutrality|manual_mf_debt_service_ratio_threshold|manual_mf_bop_gap_balance|manual_ifx_jamaica_system_differences|manual_ifx_direct_quote_bop_model_direction|manual_ifx_bop_surplus_currency_strength|manual_ifx_bop_deficit_currency_weakness|manual_ifx_exchange_rate_short_capital_flow,费雪通胀反推 | 有效年利率 | 费雪实际利率精确式 | 名义利率与实际年利率 | 金融深化
人文社科大类,人文社科,基础人文,文本、历史与思想,96,,auto_neuron_历史_neurons_中国古代史_0|auto_neuron_历史_neurons_中国古代史_2|auto_neuron_历史_neurons_中国古代史_3|auto_neuron_历史_neurons_中国古代史_4|auto_neuron_历史_neurons_中国古代史_5|auto_neuron_历史_neurons_中国近现代史_0|auto_neuron_历史_neurons_中国近现代史_1|auto_neuron_历史_neurons_中国近现代史_2|auto_neuron_历史_neurons_中国近现代史_3|auto_neuron_历史_neurons_中国近现代史_4|auto_neuron_历史_neurons_中国近现代史_5|auto_neuron_历史_neurons_中国近现代史_6|auto_neuron_历史_neurons_世界古代史_0|auto_neuron_历史_neurons_世界近现代史_0|auto_neuron_历史_neurons_世界近现代史_1,夏商周 | 汉朝 | 隋唐 | 宋元 | 明清
金融学大类,金融学,基础金融理论,金融工具、市场与风险,94,金融市场工具|基础金融理论|风险收益关系|利率与汇率,manual_inv_geometric_average_return|manual_fund_sales_cash_receipts_formula|manual_cf_modern_corporation_features|manual_cf_modern_enterprise_system|manual_cf_tender_offer_definition|manual_fm_dcf_recommendation_rule|manual_fm_semi_strong_market_efficiency|manual_ifx_international_reserve_characteristics|manual_cbf_financial_internationalization_negative_effects|manual_fineng_gbm_expected_price|manual_fineng_financial_engineering_definition|manual_finance_financial_innovation_regulatory_avoidance|manual_finance_international_financial_institutions|manual_central_bank_government_finance_balance_analysis|manual_central_bank_gdp_gnp_factor_income,多期几何平均收益率 | 销售商品收现计算 | 现代公司特征 | 现代企业制度基础 | 要约收购
会计学大类,审计学,审计程序与职业规范,证据、保证与职业判断,91,,manual_cma_accountant_ethics_objectivity_integrity|manual_acc_common_control_combination_initial|manual_audit_risk|auto_neuron_FinEval_Accounting_neurons_accounting_25|auto_neuron_FinEval_Accounting_neurons_advanced_financial_accounting_12|auto_neuron_FinEval_Accounting_neurons_auditing_0|auto_neuron_FinEval_Accounting_neurons_auditing_1|auto_neuron_FinEval_Accounting_neurons_auditing_2|auto_neuron_FinEval_Accounting_neurons_auditing_3|auto_neuron_FinEval_Accounting_neurons_auditing_4|auto_neuron_FinEval_Accounting_neurons_auditing_6|auto_neuron_FinEval_Accounting_neurons_auditing_7|auto_neuron_FinEval_Accounting_neurons_auditing_9|auto_neuron_FinEval_Accounting_neurons_auditing_10|auto_neuron_FinEval_Accounting_neurons_auditing_11,管理会计职业道德客观诚信 | 同一控制下企业合并初始计量 | 审计风险模型 | 甲公司20×3年7月1日自母公司（丁公司）取得乙公司50$\%$股权，当日，乙公司个别财务报表中净资产账面价值为3200万元。该股权系丁公司于20×1年6月自公 | 上市公司财务报告中必须经注册会计师审计的是____。
数学大类,数学,基础数学,概念与方法,83,,manual_math_pythagorean|auto_neuron_FinEval_neurons_china_actuary_21|auto_neuron_数学_neurons_集合与逻辑_0|auto_neuron_数学_neurons_集合与逻辑_1|auto_neuron_数学_neurons_集合与逻辑_2|auto_neuron_数学_neurons_函数_0|auto_neuron_数学_neurons_函数_1|auto_neuron_数学_neurons_函数_2|auto_neuron_数学_neurons_函数_3|auto_neuron_数学_neurons_函数_4|auto_neuron_数学_neurons_函数_5|auto_neuron_数学_neurons_函数_6|auto_neuron_数学_neurons_函数_7|auto_neuron_数学_neurons_函数_8|auto_neuron_数学_neurons_函数_9,"勾股定理 | $(x)$的生存函数为$s(x)=\begin{cases}1-\frac{x}{100},&0\le{x}<100\\ | 集合的基本运算 | 四种命题 | 充分必要条件"
