id,type,subject,domain,name,aliases,keywords,priority,content
manual_cma_accountant_ethics_objectivity_integrity,manual_abstract_route,会计学,管理会计,管理会计职业道德客观诚信,管理会计职业道德客观诚信,管理会计|职业道德|客观性|诚信|操纵经营结果|误导管理层,1.7,管理会计人员应遵循诚信、客观、保密和胜任能力等职业道德。故意歪曲或操纵经营结果、使报告误导管理层，违反客观性和诚信原则。
manual_cma_procurement_value_chain_objective,manual_abstract_route,会计学,管理会计,采购管理部门价值链目标,采购管理部门价值链目标,采购管理部门|价值链|原材料来源|供应商|采购成本|市场需求|竞争力,1.7,企业采购管理部门的主要目标是以合理价格、质量和时间取得生产所需投入，关注原材料来源、供应商、采购成本和供货稳定性；其直接目标不是提高最终产品市场需求或市场竞争力。
manual_tax_vehicle_vessel_tax_regular_exemption,manual_abstract_route,会计学,税法,车船税法定免税项目,车船税法定免税项目,车船税|免税|捕捞|养殖渔船|军队|武警|非机动驳船|拖船,1.7,车船税法定免税通常包括捕捞、养殖渔船以及军队、武警专用车船等；非机动驳船、拖船等通常按规定减征或折算，不当然属于完全免税。
manual_ma_joint_stock_company_min_registered_capital_legacy,manual_abstract_route,会计学,管理会计,股份有限公司最低注册资本旧法口径,股份有限公司最低注册资本旧法口径,股份有限公司|注册资本最低限额|500万元|公司法,1.7,按旧公司法考试口径，股份有限公司注册资本最低限额为人民币500万元；若题目明确采用现行认缴制或新法口径，应以题目给定法条为准。
manual_ma_estimated_liability_tax_base_warranty,manual_abstract_route,会计学,管理会计,产品质量保证预计负债计税基础,产品质量保证预计负债计税基础,产品质量保证|预计负债|计税基础|账面价值|税前扣除,1.7,企业因产品质量保证确认预计负债时，若相关支出实际发生时才允许税前扣除，则负债计税基础等于账面价值减未来可税前扣除金额，可能为零；账面价值大于计税基础形成可抵扣暂时性差异。
manual_ma_management_vs_financial_accounting_user_purpose,manual_abstract_route,会计学,管理会计,管理会计与财务会计核心区别,管理会计与财务会计核心区别,管理会计|财务会计|区别|信息使用目的|服务对象,1.7,管理会计与财务会计的核心区别在于信息使用目的和服务对象不同：管理会计主要服务企业内部经营管理决策，财务会计主要向外部信息使用者提供通用财务报告。
manual_afa_deferred_tax_liability_tax_depreciation_greater,manual_abstract_route,会计学,高级财务会计,税法折旧大于会计折旧递延所得税负债,税法折旧大于会计折旧递延所得税负债,税法折旧|会计折旧|递延所得税负债|暂时性差异|所得税税率,1.69,固定资产税法折旧大于会计折旧时，资产计税基础低于账面价值，形成应纳税暂时性差异，应确认递延所得税负债；金额为暂时性差异乘以所得税税率。
manual_afa_inflation_accounting_cost_benefit,manual_abstract_route,会计学,高级财务会计,通货膨胀会计模式选择原则,通货膨胀会计模式选择原则,通货膨胀会计模式|选择模式|成本效益原则|通货膨胀会计,1.69,企业选择通货膨胀会计模式时，应考虑实施成本与信息效益之间的权衡，遵循成本效益原则。
manual_afa_foreign_operation_meaning,manual_abstract_route,会计学,高级财务会计,境外经营含义,境外经营含义,境外经营|记账本位币|不同于企业记账本位币|分支机构|子公司,1.69,境外经营是指企业在境外的子公司、合营企业、联营企业或分支机构；企业在境内的子公司、合营企业、联营企业或分支机构，其记账本位币不同于企业记账本位币的，也视同境外经营。
manual_afa_functional_currency_measurement_scale,manual_abstract_route,会计学,高级财务会计,记账本位币作为统一计量尺度,记账本位币作为统一计量尺度,会计确认|计量|报告|统一计量尺度|记账本位币,1.69,企业通常选择一种货币作为会计确认、计量和报告的统一计量尺度，用于统一记录和反映各项经济业务，这种货币称为记账本位币。
manual_ifa_equity_method_fair_value_depreciation_adjustment,manual_abstract_route,会计学,长期股权投资,权益法净利润公允价值调整,权益法净利润公允价值调整,权益法|固定资产公允价值|账面价值|折旧|投资收益,1.67,权益法确认投资收益时，应以取得投资时被投资单位可辨认资产、负债公允价值为基础调整净利润；固定资产公允价值高于账面价值的差额，应按剩余使用寿命补提折旧后调减净利润。
manual_ifa_equity_method_bargain_purchase_and_profit_share,manual_abstract_route,会计学,长期股权投资,权益法初始利得与投资收益,权益法初始利得与投资收益,权益法|初始投资成本|可辨认净资产公允价值|投资收益|营业外收入,1.67,权益法下，初始投资成本小于取得投资时应享有被投资单位可辨认净资产公允价值份额的差额计入营业外收入；持有期间按持股比例确认被投资单位净损益份额，并对公允价值与账面价值差异的折旧摊销进行调整。
manual_ifa_lti_non_cash_asset_exchange_equity_method,manual_abstract_route,会计学,长期股权投资,非现金资产取得权益法长投损益,非现金资产取得权益法长投损益,固定资产|换入股权|重大影响|营业外收入|资产处置损益,1.67,以固定资产等非现金资产换入长期股权投资并形成重大影响时，应按付出资产公允价值确认长投初始成本，同时确认资产处置损益；若初始成本小于享有被投资单位可辨认净资产公允价值份额，差额计入营业外收入。
manual_ifa_lti_partial_disposal_equity_to_cost,manual_abstract_route,会计学,长期股权投资,长投部分处置权益法转成本法,长投部分处置权益法转成本法,长期股权投资|权益法转为成本法|处置|投资收益|账面价值,1.67,处置部分长期股权投资后由权益法转为成本法，处置损益按处置价款与处置部分账面价值差额确认；剩余投资账面价值转入成本法核算，其他综合收益和资本公积按准则处理。
manual_ifa_intangible_impairment_development_completion,manual_abstract_route,会计学,无形资产与研发,在研无形资产减值测试,在研无形资产减值测试,专利技术|资本化金额|尚需投入|可收回金额|减值损失,1.67,尚未达到预定用途的研发形成无形资产或资本化开发支出，应结合预计后续投入和可收回金额进行减值测试；账面价值高于可收回金额时确认减值损失。
manual_ifa_r_and_d_research_development_capitalization,manual_abstract_route,会计学,无形资产与研发,研发支出研究开发阶段区分,研发支出研究开发阶段区分,研究阶段|开发阶段|资本化条件|研发支出|无形资产,1.67,研究阶段支出应费用化；开发阶段支出只有满足资本化条件后才确认为无形资产，未满足资本化条件的开发支出仍费用化。
manual_ifa_intangible_amortization_pattern,manual_abstract_route,会计学,无形资产与研发,无形资产摊销方法选择,无形资产摊销方法选择,无形资产|摊销方法|经济利益预期实现方式|使用寿命不确定,1.67,使用寿命有限的无形资产，其摊销方法应反映与该无形资产有关的经济利益预期实现方式；无法可靠确定预期实现方式的，通常采用直线法摊销。使用寿命不确定的无形资产不摊销但需减值测试。
manual_ifa_investment_property_disposal_profit,manual_abstract_route,会计学,投资性房地产,公允价值模式投资性房地产处置损益,公允价值模式投资性房地产处置损益,公允价值模式|投资性房地产|处置|其他综合收益|公允价值变动,1.67,处置公允价值模式计量的投资性房地产时，处置价款与账面价值的差额影响损益；原公允价值变动损益和转换时计入其他综合收益的金额应按准则结转，避免重复计算。
manual_ifa_investment_property_cost_impairment_carrying,manual_abstract_route,会计学,投资性房地产,成本模式投资性房地产减值后账面价值,成本模式投资性房地产减值后账面价值,成本模式|投资性房地产|可收回金额|未来现金流量现值|公允价值减处置费用|账面价值,1.67,成本模式投资性房地产按成本、累计折旧和减值准备计量；减值后以可收回金额为基础继续计提折旧。可收回金额取未来现金流量现值与公允价值减处置费用后的净额两者较高者。
manual_ifa_equity_profit_loss_covering,manual_abstract_route,会计学,所有者权益,弥补亏损后的所有者权益变动,弥补亏损后的所有者权益变动,所有者权益总额|弥补亏损|董事会|股东大会|利润分配,1.67,企业以前年度亏损可用以后年度利润弥补；董事会提出但未经股东大会批准的利润分配方案通常不确认负债，不减少所有者权益。
manual_ifa_retained_earnings_components,manual_abstract_route,会计学,所有者权益,留存收益构成,留存收益构成,留存收益|盈余公积|未分配利润|实收资本|资本公积,1.67,留存收益由盈余公积和未分配利润构成；实收资本和资本公积属于所有者权益，但不属于留存收益。
manual_acc_nonmonetary_benefit_self_product,manual_abstract_route,会计学,职工薪酬,自产产品发放职工福利,自产产品发放职工福利,笔记本电脑|自产产品|管理人员|非货币性福利|增值税,1.68,企业将自产产品作为非货币性福利发放给职工，应按产品公允价值和相关税费计量职工薪酬，并同时按收入准则确认收入、结转成本。
manual_acc_employee_housing_benefit_long_deferred,manual_abstract_route,会计学,职工薪酬,低价售房职工福利长期递延,低价售房职工福利长期递延,优惠价格|职工出售住房|服务10年|长期待摊费用|低于市场价,1.68,企业以低于市场价格向职工出售住房并要求职工在未来服务期内继续服务的，售价低于公允价值的差额属于职工薪酬，应先确认为长期待摊费用或递延收益性质的待摊项目，再在服务期内按受益对象摊销计入相关成本费用。
manual_acc_convertible_bond_liability_equity_split,manual_abstract_route,会计学,金融负债与债券,可转债负债权益拆分,可转债负债权益拆分,可转换公司债券|权益成份|普通年金现值系数|复利现值系数|负债成份,1.68,发行可转换公司债券时，应先按不含转换权的类似债券市场利率折现未来现金流量确定负债成份，再以发行总价扣除负债成份后的余额确认权益成份。
manual_acc_bond_effective_interest_opening_carrying,manual_abstract_route,会计学,金融负债与债券,债券实际利率法期初摊余成本,债券实际利率法期初摊余成本,公司债券|实际利率法|账面余额|利息费用|发行费用|票面利率,1.68,实际利率法下，利息费用按期初摊余成本乘以实际利率确认；现金利息按面值乘以票面利率确认；差额调整摊余成本。发行费用冲减初始摊余成本，年初付息债券需注意付息后账面基础。
manual_acc_asset_future_cash_flow_period,manual_abstract_route,会计学,资产减值,资产未来现金流量预计期限,资产未来现金流量预计期限,资产减值|未来现金流量|期限|剩余使用寿命|现值,1.68,资产减值测试中预计未来现金流量现值时，现金流量预测期限原则上覆盖资产剩余使用寿命；若使用详细预测期，超出详细预测期后的现金流量应按稳定或递减增长率估计。
