group,subject,chinese_name,sub_concept,priority,search_query,desired_source_type,target_fields
engineering,environmental_impact_assessment_engineer,环境影响评价工程师,建设,337,建设 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,environmental_impact_assessment_engineer,环境影响评价工程师,建设,337,建设 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,in,266,in 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,in,266,in 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,fire_engineer,注册消防工程师,0m,231,0m 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,fire_engineer,注册消防工程师,0m,231,0m 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,basic_medicine,基础医学,细胞,214,细胞 医师资格 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,basic_medicine,基础医学,细胞,214,细胞 国家医学考试中心,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,int,212,int 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,college_programming,大学编程,int,212,int 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,metrology_engineer,注册计量师,检定,204,检定 注册工程师 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
engineering,metrology_engineer,注册计量师,检定,204,检定 国家标准 规范 PDF,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_network,计算机网络,协议,190,协议 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_network,计算机网络,协议,190,协议 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_network,计算机网络,TCP,187,TCP 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_network,计算机网络,TCP,187,TCP 408 考研大纲 计算机,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,middle_school_politics,初中政治,发展,178,发展 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,middle_school_politics,初中政治,发展,178,发展 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,physician,医师资格,患者,175,患者 医师资格 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
medicine,physician,医师资格,患者,175,患者 国家医学考试中心,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
legal_exam,legal_professional,法律职业资格,下列哪一选项是正确的,168,下列哪一选项是正确的 site:flk.npc.gov.cn 法律,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
legal_exam,legal_professional,法律职业资格,下列哪一选项是正确的,168,下列哪一选项是正确的 site:moj.gov.cn 法律职业资格 考试大纲,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,high_school_politics,高中政治,我国,151,我国 课程标准 site:moe.gov.cn,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
politics_history,high_school_politics,高中政治,我国,151,我国 统编教材 课程标准,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
computer,computer_architecture,计算机组成,存储器,140,存储器 计算机 课程标准 教材,official_text_or_authoritative_textbook,definition|scope_boundary|regularity|exception
