ceval_subject,chinese_name,category,c1_status,jianmu_disciplines,dev_val_questions,semantic_hit_questions,semantic_hit_rate,semantic_connection_status,top_missing_terms,hit_examples_json
computer_network,计算机网络,STEM,missing_or_weak,信息技术大类,24,1,0.0417,semantic_gap,P报文段|网络层|应用层|传输层|GBN|7ms|4ms|数据链路层|一个TCP连接的数据传输阶段|如果发送端的发送窗口值由2000变为30|00|意味着发送端可以|在收到一个确认之前可以发送3000个TC|在收到一个确认之前可以发送2000个TC|数据报交换可能出现分组乱序|滑动窗口的作用是|流量控制|拥塞控制|路由控制|差错控制|滑动窗口是一种流量控制机制|用于控制发送方向接收方发送数据的速率|以避免接收方无法处理过多的数据而导致数据|丢失或拥塞|在OSI参考模型中,"[{""id"": 0, ""question"": ""下列设备属于资源子网的是____。"", ""hits"": [[1, ""auto_neuron_信息技术_neurons_初中信息_2"", ""信息技术"", ""计算机基础"", ""算法与系统""]]}]"
operating_system,操作系统,STEM,missing_or_weak,信息技术大类,24,0,0.0,semantic_gap,cd|ls|数据段|原理|局部性|不能调整|ln|页式采用静态重定位方式|段式采用静态重定位方式|段式采用动态重定位方式|页式采用动态重定位方式|在Unix中|Unix的推测文件的类型的命令是|file|diff|type|推测文件的类型|可以理解为查看文件的格式或类型|Unix提供了一个命令来实现这个功能|即file命令|用户编写的C程序中的自动变量位于进程映像|部分|用户栈|正文段|堆段,[]
computer_architecture,计算机组成,STEM,missing_or_weak,信息技术大类,26,0,0.0,semantic_gap,0000|位功耗高|0000007FH|LRU算法替换掉那些在Cache中驻留时|速度快|集成度低|以上都不对|1500H|32768|位功耗低|FFF9H|00000076H|FFFF0076H|FFF7H|32位|存取周期为200ns|总线周期为50ns|在200ns内|内存单元1500H的内容为2500H|内存单元2500H的内容为3500H|有关|和MOS型RAM比较|双极型RAM的特点是|集成度高|速度慢,[]
college_programming,大学编程,STEM,covered,信息技术大类,42,2,0.0476,semantic_gap,int|10|return|wheels|11|15|SQR|cout|integer|value|14|include|iostream|void|在C|func|数据分成若干块|day|month|12|vehicle|sizeof|16|17|b是a的左子树,"[{""id"": 0, ""question"": ""在有n(n>1000)个元素的升序数组A中查找关键字x。查找算法的伪代码如下所示。\nk=0;\nwhile(k<n且A[k]<x)k=k+3；\nif(k<n且A[k]==x)查找成功；\nelse if(k-1<n且A[k-1]==x)查找成功；\nelse if(k-2<n且A[k-2]==x)查找成功；\nelse 查找失败；\n本算法与折半查找算法相比，有可能具有更少比较次数的情形是____"", ""hits"": [[1, ""auto_neuron_信息技术_neurons_算法与数据结构_1"", ""信息技术"", ""计算机基础"", ""算法与系统""]]}, {""id"": 30, ""question"": ""下列排序算法中，元素的移动次数与关键字的初始排列次序无关的是____"", ""hits"": [[1, ""auto_neuron_信息技术_neurons_算法与数据结构_0"", ""信息技术"", ""计算机基础"", ""算法与系统""]]}]"
college_physics,大学物理,STEM,partial,自然科学大类,24,9,0.375,weakly_connected,Li|Fe|sqrt|MeV|2g|E1|E2|U1|U2|kx|mg|frac|匀加速直线运动|加速度沿x轴正方向|加速度沿x轴负方向|变加速直线运动|首先|dt|30t|对应波长|在双缝干涉实验中|cos|向中心收缩|环心呈明暗交替变化|向外扩张,"[{""id"": 3, ""question"": ""在带有电荷+Q的金属球产生的电场中，为测量某点场强E，在该点引入一电荷为+Q/3的点电荷，测得其受力为F．则该点场强 的大小____"", ""hits"": [[1, ""auto_neuron_物理_neurons_电场_1"", ""自然科学"", ""基础科学"", ""自然规律与模型""], [1, ""auto_neuron_化学_neurons_初中化学_4"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 4, ""question"": ""“理想气体和单一热源接触作等温膨胀时，吸收的热量全部用来对外作功。”对此说法，有如下几种评论，哪种是正确的？____"", ""hits"": [[1, ""auto_neuron_物理_neurons_热学_2"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 1, ""question"": ""有三个直径相同的金属小球，小球1和2带等量同号电荷，两者的距离远大于小球直径，相互作用力为F。小球3不带电，装有绝缘手柄．用小球3先和小球1碰一下，接着又和小球2碰一下，然后移去。则此时小球1和2之间的相互作用力为____"", ""hits"": [[1, ""auto_neuron_化学_neurons_初中化学_4"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}]"
college_chemistry,大学化学,STEM,covered,自然科学大类,29,3,0.1034,semantic_gap,NH|2O|10|dm|theta|CaCl|mathfrak|HNO|2CO|HCl|NaNO|3PO|NaOH|分子中|Ka|OH|HAc|3BO|KMnO|反应速率越快|首先|食盐|其中|mol|变为原来的,"[{""id"": 1, ""question"": ""下列物质加入电池负极溶液中，使$Zn^{2+}$/$Zn$-$H^+$/$H_2$组成的原电池电动势增大的是____"", ""hits"": [[1, ""auto_neuron_化学_neurons_电化学_0"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 3, ""question"": ""下列物种中，单电子数最多的是____"", ""hits"": [[1, ""auto_neuron_化学_neurons_初中化学_4"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 15, ""question"": ""原子序号为24的元素的基态原子，其核外电子排布为____"", ""hits"": [[1, ""auto_neuron_化学_neurons_物质结构与周期律_1"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}]"
advanced_mathematics,高等数学,STEM,partial,数学大类,24,24,1.0,semantic_connected,,"[{""id"": 0, ""question"": ""求极限：$\\lim_{x\\rightarrow0}\\frac{\\tan\\left(\\tan x\\right)-\\sin\\left(\\sin x\\right)}{\\tan x-\\sin x}=$____"", ""hits"": [[2, ""auto_neuron_FinEval_neurons_china_actuary_21"", ""数学"", ""基础数学"", ""概念与方法""]]}, {""id"": 1, ""question"": ""求极限：$\\lim_{n\\rightarrow\\infty}\\left(1-\\frac{1}{1+2}\\right)\\left(1-\\frac{1}{1+2+3}\\right)\\cdots\\left(1-\\frac{1}{1+2+\\cdots+n}\\right)=$____"", ""hits"": [[2, ""auto_neuron_FinEval_neurons_china_actuary_21"", ""数学"", ""基础数学"", ""概念与方法""], [1, ""auto_rule_数学_rules_代数_3"", ""数学"", ""基础数学"", ""概念与方法""], [1, ""auto_neuron_数学_neurons_数列_0"", ""数学"", ""基础数学"", ""概念与方法""]]}, {""id"": 2, ""question"": ""求$xy=\\ln y$在$P=\\left(\\frac{1}{\\mathrm{e}},\\mathrm{e}\\right)$点的曲率半径____"", ""hits"": [[2, ""auto_neuron_FinEval_neurons_china_actuary_21"", ""数学"", ""基础数学"", ""概念与方法""]]}]"
probability_and_statistics,概率统计,STEM,covered,统计学大类|数学大类,23,22,0.9565,semantic_connected,sim|16|aX|rho|XY,"[{""id"": 0, ""question"": ""设随机变量$(X,Y)$的联合密度函数是:$f(x,y)=\\left\\{\\begin{array}{c}ke^{-x-2y},x>0,y>0\\\\0,\\text{其他}\\end{array}\\right.$则$P(0\\leq X\\leq2,0\\leq Y\\leq1)=$____"", ""hits"": [[3, ""auto_neuron_FinEval_neurons_china_actuary_21"", ""数学"", ""基础数学"", ""概念与方法""], [2, ""auto_neuron_FinEval_neurons_statistics_23"", ""概率统计"", ""概率分布"", ""随机变量与分布""], [1, ""manual_stat_tpl_normal_standardization"", ""概率统计"", ""概率分布"", ""随机变量与分布""], [1, ""auto_neuron_FinEval_neurons_statistics_22"", ""概率统计"", ""概率分布"", ""随机变量与分布""]]}, {""id"": 1, ""question"": ""设$X\\sim N\\left(\\mu,\\sigma^2\\right),\\sigma$已知,则$\\mu$的置信度为0.95的置信区间是____"", ""hits"": [[3, ""manual_stat_abs_population_sample_statistic_parameter"", ""统计推断"", ""参数估计"", ""估计量与置信区间""], [2, ""manual_stat_tpl_normal_standardization"", ""概率统计"", ""概率分布"", ""随机变量与分布""], [2, ""manual_bp_normal_95_interval"", ""概率统计"", ""概率分布"", ""随机变量与分布""], [2, ""auto_neuron_FinEval_neurons_statistics_23"", ""概率统计"", ""概率分布"", ""随机变量与分布""], [2, ""auto_neuron_FinEval_neurons_china_actuary_21"", ""数学"", ""基础数学"", ""概念与方法""]]}, {""id"": 2, ""question"": ""独立地测量一个物理量,记每次测量的结果为$X=\\mu+\\varepsilon$,其中$\\mu$是物理量的真值,$\\varepsilon$是测量产生的随机误差,且已知每次测量产生的随机误差都服从$(-1,1)$上的均匀分布,如果取$n$次测量结果的算术平均值$\\bar{X}=\\frac{1}{64}\\sum_{i=1}^{64}X_i$作为真值$\\mu$的近似值,用切比雪夫不等式估计$|\\bar{X}-\\mu|<\\frac{1}{8}$的概率的结果:____"", ""hits"": [[2, ""manual_stat_tpl_chebyshev"", ""概率统计"", ""概率分布"", ""随机变量与分布""], [2, ""auto_neuron_FinEval_neurons_china_actuary_21"", ""数学"", ""基础数学"", ""概念与方法""], [1, ""manual_stat_tpl_sample_mean_variance"", ""概率统计"", ""概率分布"", ""随机变量与分布""], [1, ""manual_stat_tpl_normal_standardization"", ""概率统计"", ""概率分布"", ""随机变量与分布""], [1, ""manual_stat_tpl_mode_mean_median"", ""概率统计"", ""概率分布"", ""随机变量与分布""]]}]"
discrete_mathematics,离散数学,STEM,partial,数学大类|信息技术大类,21,1,0.0476,semantic_gap,forall|exists|12|subseteq|uparrow|nu|wedge|lor|cup|有3个4度结点|首先|其余结点的度数均大于3|10|12度|因此|但不是群|所以|cap|设G为平面图|的正度|的负度|的数目是|18|设简单无向图G有15条边|其余结点的度数均为3,"[{""id"": 3, ""question"": ""下列说法错误的是____"", ""hits"": [[1, ""auto_neuron_FinEval_neurons_china_actuary_21"", ""数学"", ""基础数学"", ""概念与方法""]]}]"
electrical_engineer,注册电气工程师,STEM,partial,自然科学大类|数学大类,42,9,0.2143,semantic_gap,95|min|计算|超前0|滞后0|100|安装水平高度应一致|当短路点附近所接电动机额定电流之和超过短|应计入电动机反馈电流的影响|交流调压装置|变频装置3部分|105|同时应考虑输电线路基波和谐波电压的感应影|是正确的|无论档距大小|最大弧垂应按导线温度70|最大弧垂应按导线温度40|98|通过110|66|kV及以上电压等级接入电网的光伏发电站应|配备故障录波设备|该设备应具有足够的记录通道并能够记录|的情况|并配备至电网调度机构的数据传输通道,"[{""id"": 6, ""question"": ""油断路器内的变压器油的作用是____"", ""hits"": [[1, ""auto_neuron_物理_neurons_交流电_1"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 10, ""question"": ""根据电力系统承受大扰动能力的安全稳定标准，发生____故障时允许采取切机和切负荷等稳定控制措施。"", ""hits"": [[1, ""auto_neuron_物理_neurons_交流电_1"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}, {""id"": 14, ""question"": ""无功功率不足的电力系统中，首先应采用的措施是____"", ""hits"": [[1, ""auto_neuron_物理_neurons_交流电_1"", ""自然科学"", ""基础科学"", ""自然规律与模型""]]}]"
