route_id,route_type,source_subject,source_domain,name,discipline,module,upper_concept,sub_concept,node_type,first_order_relation_type,language_triggers,exception_flag,content
manual_ifa_lti_partial_disposal_equity_to_cost,manual_abstract_route,会计学,长期股权投资,长投部分处置权益法转成本法,金融学大类,金融学,未细分金融模块,待人工归类,formula_or_calculation,formula_neighbor,长投部分处置权益法转成本法|长期股权投资|权益法转为成本法|处置|投资收益|账面价值|长投部分处置权益法转成本,,处置部分长期股权投资后由权益法转为成本法，处置损益按处置价款与处置部分账面价值差额确认；剩余投资账面价值转入成本法核算，其他综合收益和资本公积按准则处理。
manual_acc_convertible_bond_liability_equity_split,manual_abstract_route,会计学,金融负债与债券,可转债负债权益拆分,金融学大类,投资学,债券定价与久期,利率敏感性与收益率,formula_or_calculation,formula_neighbor,可转债负债权益拆分|可转换公司债券|权益成份|普通年金现值系数|复利现值系数|负债成份,,发行可转换公司债券时，应先按不含转换权的类似债券市场利率折现未来现金流量确定负债成份，再以发行总价扣除负债成份后的余额确认权益成份。
manual_acc_bond_effective_interest_opening_carrying,manual_abstract_route,会计学,金融负债与债券,债券实际利率法期初摊余成本,金融学大类,投资学,债券定价与久期,利率敏感性与收益率,formula_or_calculation,formula_neighbor,债券实际利率法期初摊余成本|公司债券|实际利率法|账面余额|利息费用|发行费用|票面利率|债券实际利率法期初摊余成,,实际利率法下，利息费用按期初摊余成本乘以实际利率确认；现金利息按面值乘以票面利率确认；差额调整摊余成本。发行费用冲减初始摊余成本，年初付息债券需注意付息后账面基础。
manual_acc_step_acquisition_common_control_capital_reserve,manual_abstract_route,会计学,长期股权投资与企业合并,同控分步取得控制资本公积,金融学大类,金融学,未细分金融模块,待人工归类,formula_or_calculation,formula_neighbor,同控分步取得控制资本公积|分步取得|同一控制|资本公积|新增对价|重大影响|控制,,同一控制下分步取得股权最终形成控制时，应将长期股权投资初始成本与原账面价值加新增对价账面价值之间的差额调整资本公积；资本公积不足冲减的，调整留存收益。
manual_acc_investment_property_reconstruction,manual_abstract_route,会计学,投资性房地产,出租房地产改扩建期间列报,金融学大类,金融学,未细分金融模块,待人工归类,regulation,regulation_peer|prerequisite,出租房地产改扩建期间列报|出租|改扩建|投资性房地产|改建期间|资本化|折旧,,已出租建筑物转入改扩建且未来仍用于出租的，改扩建期间通常继续作为投资性房地产核算；符合资本化条件的后续支出计入投资性房地产成本，改扩建期间通常不计提折旧。
manual_futures_fx_swap_definition,manual_abstract_route,经济学,期权与风险管理,外汇掉期定义,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,definition,same_domain,外汇掉期定义|外汇掉期|两个不同的起息日|方向相反|两次货币交换,,外汇掉期是交易双方约定在两个不同起息日，以约定汇率进行方向相反的两次货币交换。
manual_futures_interest_rate_floor_payoff,manual_abstract_route,经济学,期权与风险管理,利率下限期权支付逻辑,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,formula_or_calculation,formula_neighbor,利率下限期权支付逻辑|利率下限期权|市场参考利率低于|协定利率下限|卖方向买方支付,,利率下限期权中，当市场参考利率低于协定下限利率时，卖方向买方支付差额；其保护的是利率下行风险。
manual_futures_call_option_buyer_profit,manual_abstract_route,经济学,期权与风险管理,看涨期权买方净收益,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,formula_or_calculation,formula_neighbor,看涨期权买方净收益|看涨期权|执行价格|权利金|净收益,,"看涨期权买方净收益= max(标的价格-执行价格,0)×合约规模×手数 - 权利金总额。"
manual_futures_fx_hedge_payable_usd,manual_abstract_route,经济学,套期保值与价差交易,美元应付款套保方向,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,concept,same_domain,美元应付款套保方向|支付美元|美元升值|买入美元远期|套期保值,,未来需要支付美元且担心美元升值时，应买入美元远期或期货合约锁定购汇成本。
manual_futures_fx_hedge_receivable_pound,manual_abstract_route,经济学,套期保值与价差交易,英镑应收款套保方向,金融学大类,金融工程,衍生品与风险管理,无套利定价与套保,concept,same_domain,英镑应收款套保方向|收到英镑|英镑贬值|卖出英镑期货|套期保值,,未来将收到英镑而担心英镑贬值时，应在期货市场卖出英镑期货合约进行套期保值。
