route_id,subject,domain,name,layer,score_abs,score_reg,type,keywords,content
manual_afa_deferred_tax_liability_tax_depreciation_greater,会计学,高级财务会计,税法折旧大于会计折旧递延所得税负债,regularity,0,2,manual_abstract_route,税法折旧|会计折旧|递延所得税负债|暂时性差异|所得税税率,固定资产税法折旧大于会计折旧时，资产计税基础低于账面价值，形成应纳税暂时性差异，应确认递延所得税负债；金额为暂时性差异乘以所得税税率。
manual_futures_margin_ratio_common,经济学,期货与衍生品,期货保证金比例常见区间,regularity,0,3,manual_abstract_route,保证金制度|保证金比率|合约价值|5%|15%,期货交易采取保证金制度，保证金通常按合约价值一定比例收取；资格考试常见口径为合约价值的5%至15%。
manual_seclaw_sponsor_rep_regulatory_measure_suspension,法学,证券法,保荐代表人监管措施暂停受理,regularity,0,3,manual_abstract_route,保荐代表人|连续两个自然年|监管措施|累计超过两次|6个月,保荐代表人在连续两个自然年内被监管部门采取措施次数累计超过规定次数的，证监会可在一定期限内不接受其具体负责推荐的事项；常见口径为六个月。
manual_seclaw_fundraising_fraud_prosecution_threshold,法学,证券法,集资诈骗追诉标准,regularity,1,2,manual_abstract_route,非法占有|诈骗|非法集资|立案追诉|10万元,以非法占有为目的，使用诈骗方法非法集资，达到刑事立案追诉标准的应追诉；常见个人数额口径为十万元以上。
manual_strategy_internal_relationship_coordination,管理学,组织结构,组织内部关系协调,abstraction,2,0,manual_abstract_route,组织结构|集权与分权|中层管理人员|协同与激励|外部融资,调整组织结构内部管理关系时，重点考虑集权与分权、中层管理人员调整、协同与激励等，不属于外部融资问题。
manual_tax_ad_valorem_property_tax,会计学,税额计算,从价房产税,regularity,0,3,manual_abstract_route,房产税|从价计征|房产原值|扣除比例|出租,房产税从价计征时通常按房产原值扣除规定比例后的余值乘适用税率计算；出租部分可按租金收入从租计征。
manual_tax_personal_rental_housing_property_tax,会计学,税额计算,个人出租住房房产税,regularity,0,2,manual_abstract_route,个人出租住房|房产税|租金收入|4%,个人出租住房通常按租金收入适用优惠税率计征房产税，常见口径为4%，按实际出租月份计算。
manual_tax_property_transfer_pit_assessment,会计学,税额计算,财产转让个人所得税核定,regularity,0,2,manual_abstract_route,转让股权|原值凭证|核定|个人所得税|15%,转让财产不能提供完整原值凭证时，可按税务机关核定扣除比例确定原值及合理费用，再按财产转让所得适用税率计算个人所得税。
manual_fund_pe_annual_report_submission,经济学,私募股权,股权投资基金年报报送,regularity,0,2,manual_abstract_route,股权投资基金管理人|会计年度结束|4个月内|年度财务报告|协会,股权投资基金管理人应在每个会计年度结束后规定月份内向协会报送经审计年度财报等材料；常见口径为4个月内。
manual_fund_private_manager_staff_requirement,经济学,私募股权,私募基金管理人员要求,regularity,0,2,manual_abstract_route,私募投资基金管理人|高级管理人员|合规风控负责人|2名|1名,私募基金管理人应具备规定数量的高级管理人员，并应设置合规风控负责人；具体人数按监管规则精确匹配。
manual_fund_custodian_nav_review_frequency,经济学,基金投资,基金净值复核频率,regularity,0,2,manual_abstract_route,证券投资基金托管业务管理办法|基金资产净值|复核|每年,基金托管人对基金资产净值、基金份额净值等进行复核，具体频率按法规和基金合同执行，相关题目常见口径为每年至少一次。
manual_bp_entrusted_payment_exclusion,经济学,银行理财与信贷,受托支付例外,abstraction,2,0,manual_abstract_route,受托支付|流动资金贷款|新建信贷关系|信用状况良好,流动资金贷款中，新建信贷关系且借款人信用状况良好，不属于原则上必须采用受托支付的情形。
manual_fm_reinvestment_pe_ratio,经济学,金融计算,再投资与市盈率,regularity,0,2,manual_abstract_route,市盈率|再投资|回报率|资本化率|盈利分配,在资本化率相同条件下，留存再投资收益率高于资本化率会提高估值；市盈率取决于再投资比例、项目回报率与资本成本的组合。
manual_central_bank_transparency_principle,经济学,中央银行,央行公开性原则,abstraction,2,0,manual_abstract_route,中央银行|公开性原则|公共监督|告示效应,中央银行公开性原则的目的在于信息披露、接受公共监督并增强货币政策告示效应，不以提高权威性为直接目的。
manual_public_finance_public_needs_features,经济学,公共财政,公共需求特征,abstraction,2,0,manual_abstract_route,公共需求|共同需要|无差别|付出代价,公共需求是社会公众共同需要，并非个体需求的简单数学加总；其满足一般依靠政府和公共机制，但不意味着成员享用完全无需任何代价。
manual_macro_okun_law,经济学,宏观经济学,奥肯定律,regularity,0,2,manual_abstract_route,奥肯定律|自然失业率|奥肯系数|产出,奥肯定律常写作实际产出相对潜在产出的缺口与失业率偏离自然失业率成比例；产出损失率=奥肯系数×失业率缺口。
manual_actuarial_surplus_reinsurance_recovery,保险精算,非寿险精算,溢额再保险赔款分摊,regularity,0,2,manual_abstract_route,溢额再保险|自留额|分保额|索赔金额,溢额再保险按保险金额中超过自留额、且不超过分保限额的比例分摊赔款；低于自留额时再保险人不赔。
manual_stat_tpl_confidence_alpha,统计学,统计学公式模板,置信水平与α,regularity,0,2,manual_abstract_route,置信水平|置信区间|alpha|α,置信水平为1-α。α升高意味着置信水平降低，临界值变小，其他条件相同时置信区间变窄。99%置信水平表示长期重复抽样中约99%的置信区间覆盖真实参数。
