file,subject,from,to,type
first_order_会计学.json,会计学,长期股权投资初始计量,企业合并|权益法|初始投资成本,first_order_same_structure
first_order_会计学.json,会计学,同一控制下企业合并初始计量,长期股权投资|企业合并商誉|最终控制方口径,first_order_same_logic
first_order_会计学.json,会计学,资产减值与资产组,可收回金额|未来现金流量现值|商誉减值测试,first_order_same_logic
first_order_会计学.json,会计学,商誉减值测试,资产组|企业合并商誉|可收回金额,first_order_same_logic
first_order_会计学.json,会计学,债券实际利率法,摊余成本|应付债券|可转换公司债券,first_order_same_structure
first_order_会计学.json,会计学,可转换公司债券权益成份,债券实际利率法|金融负债|所有者权益,first_order_same_structure
first_order_会计学.json,会计学,累积带薪缺勤,职工薪酬|短期薪酬|管理费用,first_order_same_logic
first_order_会计学.json,会计学,利润分享计划,职工薪酬|短期薪酬|应付职工薪酬,first_order_same_logic
first_order_会计学.json,会计学,城市维护建设税计税基础,消费税征税范围|消费税金银珠宝范围|税收滞纳金,first_order_same_domain
first_order_会计学.json,会计学,车辆购置税计税价格,车辆购置税退税|从价房产税|房产税地价并入规则,first_order_same_domain
first_order_会计学.json,会计学,税务行政处罚听证门槛,税务行政处罚设定权限|宪法纳税义务|非居民企业核定征收所得税,first_order_same_domain
first_order_会计学.json,会计学,分期付款无形资产初始计量,可转债负债权益拆分|债券实际利率法期初摊余成本|资产未来现金流量预计期限,first_order_same_present_value
first_order_会计学.json,会计学,投资性房地产成本模式转公允价值模式,出租房地产改扩建期间列报|会计政策变更|留存收益调整,first_order_same_standard
first_order_会计学.json,会计学,同控合并长投成本含原商誉,同控分步取得控制资本公积|长期股权投资初始计量|同一控制下企业合并初始计量,first_order_same_standard
first_order_会计学.json,会计学,低价售房职工福利长期递延,自产产品发放职工福利|累积带薪缺勤|利润分享计划,first_order_same_standard
first_order_会计学.json,会计学,留存收益构成,弥补亏损后的所有者权益变动|所有者权益计算|利润分配,first_order_same_standard
first_order_会计学.json,会计学,成本模式投资性房地产减值后账面价值,投资性房地产成本模式转公允价值模式|公允价值模式投资性房地产处置损益|资产减值与资产组,first_order_same_standard
first_order_会计学.json,会计学,研发支出研究开发阶段区分,无形资产摊销方法选择|在研无形资产减值测试|分期付款无形资产初始计量,first_order_same_standard
first_order_会计学.json,会计学,权益法初始利得与投资收益,权益法净利润公允价值调整|非现金资产取得权益法长投损益|长投部分处置权益法转成本法,first_order_same_standard
first_order_会计学.json,会计学,记账本位币作为统一计量尺度,境外经营含义|外币报表折算|功能货币,first_order_same_standard
first_order_会计学.json,会计学,通货膨胀会计模式选择原则,记账本位币作为统一计量尺度|高级财务会计|成本效益原则,first_order_same_standard
first_order_会计学.json,会计学,税法折旧大于会计折旧递延所得税负债,债券实际利率法期初摊余成本|成本模式投资性房地产减值后账面价值|资产未来现金流量预计期限,first_order_same_calculation
first_order_会计学.json,会计学,管理会计与财务会计核心区别,成本会计|责任会计|预算管理,first_order_same_domain
first_order_会计学.json,会计学,产品质量保证预计负债计税基础,税法折旧大于会计折旧递延所得税负债|所得税暂时性差异|预计负债,first_order_same_standard
first_order_会计学.json,会计学,股份有限公司最低注册资本旧法口径,公司法资本制度|有限责任公司注册资本|证券发行条件,first_order_same_law
first_order_会计学.json,会计学,车船税法定免税项目,车辆购置税计税价格|车辆购置税退税|税务行政处罚听证门槛,first_order_same_tax
first_order_会计学.json,会计学,采购管理部门价值链目标,管理会计与财务会计核心区别|成本管理|供应链管理,first_order_same_domain
first_order_会计学.json,会计学,管理会计职业道德客观诚信,管理会计与财务会计核心区别|审计职业道德|内部控制,first_order_same_ethics
first_order_保险精算.json,保险精算,全离散终身寿险均衡保费,精算现值|亏损随机变量|等价原则,first_order_same_formula
first_order_保险精算.json,保险精算,毛保费费用加载公式,纯保费|费用附加|利润附加,first_order_same_formula
first_order_保险精算.json,保险精算,溢额再保险赔款分摊,自留额|分保额|比例分摊,first_order_same_formula
first_order_保险精算.json,保险精算,Bühlmann 信度估计,信度因子|过程方差|结构方差,first_order_same_formula
first_order_法学.json,法学,票据债务人,票据金额大小写不一致|法律事实范围|破产程序中未结诉讼,first_order_same_domain
first_order_法学.json,法学,物权客体,动产物权类型边界|区域性股权市场交易方式|非上市公众公司边界,first_order_same_domain
first_order_法学.json,法学,上市公司季报披露期限,上市公司对外担保披露时点|非上市公众公司边界|区域性股权市场交易方式,first_order_same_domain
first_order_法学.json,法学,公开发行证券人数边界,非上市公众公司边界|区域性股权市场交易方式|证券服务机构承销期买卖限制,first_order_same_domain
first_order_法学.json,法学,上市公司收购公告要约义务罚则,上市公司对外担保披露时点|公开发行证券人数边界|证券交易所负责人任职限制,first_order_same_domain
first_order_法学.json,法学,受托投资管理不得承诺收益,合规管理人员兼职边界|表外业务定义|证券从业登记变更期限,first_order_same_domain
first_order_管理学.json,管理学,公司宗旨变化,产品开发战略|前向一体化战略|创新型战略组织,first_order_same_domain
first_order_管理学.json,管理学,多事业部结构优缺点,区域事业部结构|组织内部关系协调|股权结构分散治理风险,first_order_same_domain
first_order_管理学.json,管理学,决策树法,弹性预算|财务战略矩阵|文化管理应对战略稳定,first_order_same_domain
first_order_经济学.json,经济学,蛛网模型发散条件,供给曲线|需求曲线|价格动态调整,first_order_same_model
first_order_经济学.json,经济学,无差异曲线基本性质,消费者偏好|边际替代率|效用函数,first_order_same_model
first_order_经济学.json,经济学,支出法 GDP,净出口|折旧与NDP|国民收入核算,first_order_same_formula
first_order_经济学.json,经济学,中央银行发行的银行职能,货币发行|中央银行职能|货币政策,first_order_same_domain
first_order_经济学.json,经济学,厂商亏损仍生产条件,平均可变成本|短期最优产出|MC 与 AVC 关系,first_order_same_domain
first_order_经济学.json,经济学,完全竞争总收益曲线,完全竞争长期供给曲线|短期最优产出|平均收益曲线与市场结构,first_order_same_domain
first_order_经济学.json,经济学,外部性与庇古税,市场失灵|社会边际成本|公共物品,first_order_same_domain
first_order_经济学.json,经济学,帕累托效率与公平,交换效率|生产效率|收入公平,first_order_same_domain
first_order_经济学.json,经济学,囚徒困境,博弈支付|纳什均衡|有限期重复博弈,first_order_same_domain
first_order_经济学.json,经济学,MRS 与互利交换方向,效用最大化与相对价格|无差异曲线基本性质|消费者偏好,first_order_same_formula
first_order_经济学.json,经济学,挤出效应,投资需求与利率关系|政府支出|利率,first_order_same_domain
first_order_经济学.json,经济学,公开市场卖出债券,中央银行发行的银行职能|货币政策|基础货币,first_order_same_domain
first_order_经济学.json,经济学,通货膨胀率,价格指数|抑制性通货膨胀|GDP平减指数与名义GDP,first_order_same_formula
first_order_经济学.json,经济学,平衡预算乘数,投资乘数|减税乘数|乘数-加速数经济周期,first_order_same_formula
first_order_经济学.json,经济学,奥肯定律,自然失业率流量模型|结构性失业|产出缺口,first_order_same_domain
first_order_经济学.json,经济学,短期国际资本流动,外汇需求者|间接标价倒数换算|利率水平,first_order_same_domain
first_order_经济学.json,经济学,拉弗曲线含义,自动稳定器与税收|供给学派税收观点|税率,first_order_same_domain
first_order_经济学.json,经济学,自动稳定财政政策,自动稳定器与税收|财政政策目标|财政稳定经济工具边界,first_order_same_domain
first_order_经济学.json,经济学,中央与地方职能分配,财权财力与事权匹配|地方政府财政政策双重角色|地方公共产品外溢性,first_order_same_domain
first_order_经济学.json,经济学,国债依存度,国债偿还率|国债规模影响因素|国债连续经销方式,first_order_same_formula
first_order_经济学.json,经济学,外债负债率,外债结构|贸易条件类型|特惠贸易安排类型,first_order_same_domain
first_order_经济学.json,经济学,公共产品类型,公共需求特征|地方公共产品外溢性|公共财政职能,first_order_same_domain
first_order_经济学.json,经济学,货币政策首要目标,货币政策中介指标|利率中介指标特点|货币主义政策指标,first_order_same_domain
first_order_经济学.json,经济学,公开市场操作目标,公开市场卖出债券|基础货币|存款准备率工具,first_order_same_domain
first_order_经济学.json,经济学,货币概览生成,货币账户层次|中国货币统计并行方式|资金流量账户平衡,first_order_same_domain
first_order_经济学.json,经济学,超额准备金与货币乘数,存款准备率工具|广义货币供给构成边界|基础货币,first_order_same_formula
first_order_经济学.json,经济学,全额结算定义,央行清算方式|支付信用风险|CHIPS,first_order_same_domain
first_order_经济学.json,经济学,商业银行基本职能,金融中介主要职能|直接信用与间接信用|商业银行性质,first_order_same_domain
first_order_经济学.json,经济学,费雪方程近似,通货膨胀率|利率中介指标特点|挂牌存款利率性质,first_order_same_formula
first_order_经济学.json,经济学,金融衍生工具功能,期货交易核心目的|期货与期权特征区别|股指期货交割方式,first_order_same_domain
first_order_经济学.json,经济学,外汇看跌期权,美式期权执行时间|可转换债券赎回条款|期货与期权特征区别,first_order_same_domain
first_order_经济学.json,经济学,认购期权内在价值,期权时间价值|美式期权执行时间|外汇看跌期权,first_order_same_formula
first_order_经济学.json,经济学,熊市看跌价差 payoff,认购期权内在价值|期权时间价值|外汇看跌期权,first_order_same_formula
first_order_经济学.json,经济学,金融远期合约定义,远期锁汇收入|外汇期货保证金制度|利率期货买入套保,first_order_same_domain
first_order_经济学.json,经济学,无套利定价基础,含股息看涨看跌平价|几何布朗运动期望价格|金融工程定义,first_order_same_domain
first_order_经济学.json,经济学,同业拆借主要目的,存款准备率工具|货币政策中介指标|商业银行现金资产管理原则,first_order_same_domain
first_order_经济学.json,经济学,关注类贷款定义,贷款政策内容边界|贷款定价原则边界|真实票据理论,first_order_same_domain
first_order_经济学.json,经济学,不可撤销备用信用证受益人保护,银行国际业务经营目标|金融业国际化消极影响边界|远期锁汇收入,first_order_same_domain
first_order_经济学.json,经济学,商业票据贴现现金额,同业拆借主要目的|定期储蓄提前支取计息|远期锁汇收入,first_order_same_formula
first_order_经济学.json,经济学,国际收支逆差与货币疲软,国际收支顺差与货币坚挺|直接标价法国际收支模型方向|汇率变动影响短期资本流动,first_order_opposite_pair
first_order_经济学.json,经济学,储备货币条件,国际储备特性|牙买加体系区别|中国外汇管理政策动态变化,first_order_same_domain
first_order_经济学.json,经济学,外汇看跌期权权利义务,认购期权内在价值|期权时间价值|远期锁汇收入,first_order_same_domain
first_order_经济学.json,经济学,货币长期中性,凯恩斯与古典货币理论差异|信用扩张与货币供给|1998年后我国货币政策中介目标,first_order_same_domain
first_order_经济学.json,经济学,国际收支缺口定义,国际收支逆差与货币疲软|国际收支顺差与货币坚挺|外债偿债率警戒线,first_order_same_domain
