id,ceval_subject,ceval_chinese_name,sub_concept,node_type,example_count,has_explanation,source_tier,confidence
ceval_seed.computer_network.001.SYN,computer_network,计算机网络,SYN,formula_or_calculation,4,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.002.seq,computer_network,计算机网络,seq,formula_or_calculation,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.003.传输层,computer_network,计算机网络,传输层,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.004.网络层,computer_network,计算机网络,网络层,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.005.在OSI参考模型中,computer_network,计算机网络,在OSI参考模型中,formula_or_calculation,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.006.应用层,computer_network,计算机网络,应用层,formula_or_calculation,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.007.数据链路层,computer_network,计算机网络,数据链路层,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.008.坚持CSMA,computer_network,计算机网络,坚持CSMA,concept,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.009.ack,computer_network,计算机网络,ack,formula_or_calculation,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.010.TCP,computer_network,计算机网络,TCP,formula_or_calculation,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.011.路由器,computer_network,计算机网络,路由器,formula_or_calculation,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.012.协议,computer_network,计算机网络,协议,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.013.表示层,computer_network,计算机网络,表示层,formula_or_calculation,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.014.ACK,computer_network,计算机网络,ACK,formula_or_calculation,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.015.8KB,computer_network,计算机网络,8KB,formula_or_calculation,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.016.会话层,computer_network,计算机网络,会话层,formula_or_calculation,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.017.坚持型CSMA,computer_network,计算机网络,坚持型CSMA,concept,2,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.018.流量控制,computer_network,计算机网络,流量控制,procedure,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.019.拥塞控制,computer_network,计算机网络,拥塞控制,procedure,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.020.差错控制,computer_network,计算机网络,差错控制,procedure,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.021.GBN,computer_network,计算机网络,GBN,formula_or_calculation,4,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.022.80Mbps,computer_network,计算机网络,80Mbps,formula_or_calculation,1,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.023.16KB,computer_network,计算机网络,16KB,concept,4,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.024.II,computer_network,计算机网络,II,concept,2,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.025.CSMA,computer_network,计算机网络,CSMA,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.026.错误的是,computer_network,计算机网络,错误的是,formula_or_calculation,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.027.序号,computer_network,计算机网络,序号,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.028.IEEE,computer_network,计算机网络,IEEE,regulation_or_standard,1,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.029.生成PDU,computer_network,计算机网络,生成PDU,concept,1,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.030.网桥,computer_network,计算机网络,网桥,formula_or_calculation,2,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.031.交换机,computer_network,计算机网络,交换机,formula_or_calculation,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.032.传输数据,computer_network,计算机网络,传输数据,formula_or_calculation,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.033.数据报交换可能出现分组乱序,computer_network,计算机网络,数据报交换可能出现分组乱序,formula_or_calculation,2,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.034.物理层,computer_network,计算机网络,物理层,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.035.主机甲与主机乙之间已建立一个TCP连接,computer_network,计算机网络,主机甲与主机乙之间已建立一个TCP连接,concept,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.036.服务器,computer_network,计算机网络,服务器,formula_or_calculation,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.037.分组,computer_network,计算机网络,分组,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.038.报文段,computer_network,计算机网络,报文段,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.039.非坚持CSMA,computer_network,计算机网络,非坚持CSMA,concept,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.040.III,computer_network,计算机网络,III,concept,2,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.041.在TCP,computer_network,计算机网络,在TCP,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.042.MSS为1KB,computer_network,计算机网络,MSS为1KB,formula_or_calculation,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.043.request,computer_network,计算机网络,request,concept,1,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.044.计算机软件,computer_network,计算机网络,计算机软件,formula_or_calculation,2,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.computer_network.045.三次握手,computer_network,计算机网络,三次握手,formula_or_calculation,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.001.etc,operating_system,操作系统,etc,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.002.在Unix中,operating_system,操作系统,在Unix中,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.003.Windows,operating_system,操作系统,Windows,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.004.ls,operating_system,操作系统,ls,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.005.信号量,operating_system,操作系统,信号量,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.006.在Unix系统中,operating_system,操作系统,在Unix系统中,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.007.目录中的,operating_system,操作系统,目录中的,concept,4,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.008.bin,operating_system,操作系统,bin,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.009.lib,operating_system,操作系统,lib,concept,4,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.010.dev,operating_system,操作系统,dev,concept,4,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.011.cd,operating_system,操作系统,cd,concept,2,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.012.services,operating_system,操作系统,services,formula_or_calculation,4,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.013.共享存储区,operating_system,操作系统,共享存储区,concept,4,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.014.管道,operating_system,操作系统,管道,procedure,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.015.init,operating_system,操作系统,init,concept,2,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.016.eval,operating_system,操作系统,eval,concept,1,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.017.cmd,operating_system,操作系统,cmd,concept,1,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.018.全局变量,operating_system,操作系统,全局变量,formula_or_calculation,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.019.var1,operating_system,操作系统,var1,concept,1,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.020.var2,operating_system,操作系统,var2,concept,1,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.021.while,operating_system,操作系统,while,concept,1,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.022.file,operating_system,操作系统,file,regulation_or_standard,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.023.在操作系统中,operating_system,操作系统,在操作系统中,concept,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.024.可变分区,operating_system,操作系统,可变分区,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.025.隐蔽文件目录,operating_system,操作系统,隐蔽文件目录,regulation_or_standard,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.026.最佳适应算法,operating_system,操作系统,最佳适应算法,formula_or_calculation,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.027.系统调用,operating_system,操作系统,系统调用,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.028.源程序,operating_system,操作系统,源程序,concept,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.029.就绪,operating_system,操作系统,就绪,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.030.networks,operating_system,操作系统,networks,formula_or_calculation,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.031.protocols,operating_system,操作系统,protocols,formula_or_calculation,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.032.虚拟设备,operating_system,操作系统,虚拟设备,concept,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.033.存储管理,operating_system,操作系统,存储管理,concept,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.034.先来先服务,operating_system,操作系统,先来先服务,abstraction_or_regularity,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.035.文件控制块,operating_system,操作系统,文件控制块,concept,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.036.在Windows,operating_system,操作系统,在Windows,formula_or_calculation,4,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.037.状态,operating_system,操作系统,状态,formula_or_calculation,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.038.打印机,operating_system,操作系统,打印机,concept,3,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.039.部分,operating_system,操作系统,部分,formula_or_calculation,5,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.040.中断屏蔽,operating_system,操作系统,中断屏蔽,abstraction_or_regularity,2,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.041.能运行更多的程序,operating_system,操作系统,能运行更多的程序,concept,2,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.042.能运行更大的程序,operating_system,操作系统,能运行更大的程序,concept,2,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
ceval_seed.operating_system.043.实现分时系统,operating_system,操作系统,实现分时系统,concept,2,True,official_benchmark_data,medium_seed_needs_authoritative_enrichment
