card_id,group,subject,chinese_name,sub_concept,node_type,matched_question_count,definition_clues,regularity_clues,trap_clues,example_count,priority
ceval_card.environmental_impact_assessment_engineer.045.建设,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,建设,regulation_or_standard,109,1,0,0,8,337
ceval_card.college_programming.029.in,computer,college_programming,大学编程,in,concept,84,2,2,1,8,270
ceval_card.fire_engineer.001.0m,engineering,fire_engineer,注册消防工程师,0m,formula_or_calculation,73,2,1,0,8,233
ceval_card.basic_medicine.022.细胞,medicine,basic_medicine,基础医学,细胞,concept,68,1,0,2,8,218
ceval_card.college_programming.001.int,computer,college_programming,大学编程,int,formula_or_calculation,66,1,2,1,8,214
ceval_card.metrology_engineer.022.检定,engineering,metrology_engineer,注册计量师,检定,formula_or_calculation,64,3,1,0,8,208
ceval_card.computer_network.012.协议,computer,computer_network,计算机网络,协议,concept,58,3,3,0,8,194
ceval_card.computer_network.010.TCP,computer,computer_network,计算机网络,TCP,formula_or_calculation,59,0,0,0,8,185
ceval_card.middle_school_politics.036.发展,politics_history,middle_school_politics,初中政治,发展,abstraction_or_regularity,56,2,0,1,8,182
ceval_card.physician.024.患者,medicine,physician,医师资格,患者,abstraction_or_regularity,55,1,0,0,8,175
ceval_card.high_school_politics.033.我国,politics_history,high_school_politics,高中政治,我国,formula_or_calculation,47,1,0,0,8,151
ceval_card.modern_chinese_history.033.提出,politics_history,modern_chinese_history,近代史纲要,提出,concept,42,2,1,2,8,144
ceval_card.computer_architecture.024.存储器,computer,computer_architecture,计算机组成,存储器,formula_or_calculation,42,2,2,0,8,142
ceval_card.college_programming.002.cout,computer,college_programming,大学编程,cout,procedure,42,1,2,1,8,142
ceval_card.ideological_and_moral_cultivation.030.理想,politics_history,ideological_and_moral_cultivation,思想道德修养与法律基础,理想,formula_or_calculation,43,2,0,0,8,141
ceval_card.computer_architecture.006.寄存器,computer,computer_architecture,计算机组成,寄存器,formula_or_calculation,42,2,0,0,8,138
ceval_card.electrical_engineer.001.5m,engineering,electrical_engineer,注册电气工程师,5m,regulation_or_standard,43,0,0,0,8,137
ceval_card.modern_chinese_history.001.中共,politics_history,modern_chinese_history,近代史纲要,中共,regulation_or_standard,40,1,1,2,8,136
ceval_card.computer_architecture.013.CPU,computer,computer_architecture,计算机组成,CPU,formula_or_calculation,40,1,2,0,8,134
ceval_card.environmental_impact_assessment_engineer.023.规定,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,规定,formula_or_calculation,38,3,3,0,8,134
ceval_card.college_programming.004.void,computer,college_programming,大学编程,void,formula_or_calculation,39,1,2,1,8,133
ceval_card.college_programming.006.main,computer,college_programming,大学编程,main,formula_or_calculation,37,1,2,1,8,127
ceval_card.college_programming.003.public,computer,college_programming,大学编程,public,concept,39,0,0,0,8,125
ceval_card.environmental_impact_assessment_engineer.001.HJ2,engineering,environmental_impact_assessment_engineer,环境影响评价工程师,HJ2,formula_or_calculation,38,0,0,0,8,122
ceval_card.marxism.025.认识,politics_history,marxism,马克思主义基本原理,认识,concept,37,1,0,0,8,121
ceval_card.marxism.006.实践,politics_history,marxism,马克思主义基本原理,实践,concept,37,0,0,0,8,119
ceval_card.college_programming.005.class,computer,college_programming,大学编程,class,concept,35,0,0,0,8,113
ceval_card.metrology_engineer.019.测量仪器,engineering,metrology_engineer,注册计量师,测量仪器,regulation_or_standard,33,2,1,0,8,113
ceval_card.college_programming.010.include,computer,college_programming,大学编程,include,procedure,31,1,2,1,8,109
ceval_card.college_programming.011.iostream,computer,college_programming,大学编程,iostream,procedure,30,1,2,1,8,106
ceval_card.metrology_engineer.004.校准,engineering,metrology_engineer,注册计量师,校准,formula_or_calculation,30,2,1,0,8,104
ceval_card.fire_engineer.002.5m,engineering,fire_engineer,注册消防工程师,5m,formula_or_calculation,32,0,0,0,8,104
ceval_card.fire_engineer.006.正确的是,engineering,fire_engineer,注册消防工程师,正确的是,formula_or_calculation,30,0,0,0,8,98
ceval_card.computer_architecture.005.主存,computer,computer_architecture,计算机组成,主存,formula_or_calculation,29,0,0,0,8,95
ceval_card.metrology_engineer.003.称为,engineering,metrology_engineer,注册计量师,称为,regulation_or_standard,28,0,0,0,8,92
ceval_card.marxism.017.唯心主义,politics_history,marxism,马克思主义基本原理,唯心主义,concept,28,0,0,0,8,92
ceval_card.clinical_medicine.001.男性,medicine,clinical_medicine,临床医学,男性,formula_or_calculation,26,0,0,0,8,86
