subject,error_type,count,recommended_action,sample_ids,sample_terms
accountant,semantic_or_option_alignment,25,improve_option_semantic_alignment_and_contrast_peers,2|3|5|6|11,物的分类与权利边界|物的分类与权利边界|应纳税所得额与抵免|应纳税所得额与抵免|基本假设、要素与信息质量|一般情况下|无套利定价与套保|提出|提出|提出|加强|合并报表与特殊事项|证据、保证与职业判断|合并报表与特殊事项|产品制度与合规
tax_accountant,semantic_or_option_alignment,25,improve_option_semantic_alignment_and_contrast_peers,0|2|3|4|6,合并报表与特殊事项|征税范围、税率与抵扣|征税范围、税率与抵扣|征税范围、税率与抵扣|确认、计量与减值|组织形式与治理|结构设计与协调|风险收益与估值|风险收益与估值|确认、计量与减值|应纳税所得额与抵免|所得分类与计税|所得分类与计税|应纳税所得额与抵免|所得分类与计税
college_economics,semantic_or_option_alignment,24,improve_option_semantic_alignment_and_contrast_peers,0|3|4|7|9,供需、弹性与市场结构|供需、弹性与市场结构|供需、弹性与市场结构|供需、弹性与市场结构|基本假设、要素与信息质量|供需、弹性与市场结构|供需、弹性与市场结构|供需、弹性与市场结构|BE|资源配置与制度分析|供需、弹性与市场结构|max|不变|减小
college_programming,semantic_or_option_alignment,22,improve_option_semantic_alignment_and_contrast_peers,0|1|4|5|6,产品制度与合规|基本假设、要素与信息质量|数据描述与推断|分段|rho|信用、资本与流程监管|信用、资本与流程监管|产品制度与合规|信用、资本与流程监管|基本假设、要素与信息质量|public|in|int|char|ch
teacher_qualification,semantic_or_option_alignment,22,improve_option_semantic_alignment_and_contrast_peers,0|2|5|6|8,依据|中华人民共和国教育法|中国教育改革和发展纲要|中华人民共和国教育法|教育|战略选择与实施|纳税义务与征管|因此|所以|那么|这体现了|教育目的|供需、弹性与市场结构|这表明|合作
civil_servant,semantic_or_option_alignment,21,improve_option_semantic_alignment_and_contrast_peers,3|4|5|7|10,cout|量程|m3|num|DNA|财政收入支出与预算|基本假设、要素与信息质量|基本假设、要素与信息质量|应纳税所得额与抵免|应纳税所得额与抵免|using|namespace|std|极差系数C|0m
business_administration,semantic_or_option_alignment,20,improve_option_semantic_alignment_and_contrast_peers,1|5|6|7|9,处分四项权能|汽车库|产品制度与合规|主机甲与主机乙之间已建立一个TCP连接|正确的是|募集、运作与信息披露|量程|确认、计量与减值|确认、计量与减值|确认、计量与减值|确认、计量与减值|确认、计量与减值
urban_and_rural_planner,semantic_or_option_alignment,20,improve_option_semantic_alignment_and_contrast_peers,1|2|3|4|5,BE|MeV|prime|Delta|额定功率|信用风险与合规流程|估计量与置信区间|估计量与置信区间|信用、资本与流程监管|基本假设、要素与信息质量|建设项目环境风险评价技术导则|HJ169|声环境质量标准|GB3096|s风速
physician,semantic_or_option_alignment,20,improve_option_semantic_alignment_and_contrast_peers,0|3|5|6|8,证据、保证与职业判断|证据、保证与职业判断|应纳税所得额与抵免|利率敏感性与收益率|数据描述与推断|血行转移|查体|证据、保证与职业判断|基本假设、要素与信息质量|基本假设、要素与信息质量|风险收益与估值|cm
mao_zedong_thought,semantic_or_option_alignment,19,improve_option_semantic_alignment_and_contrast_peers,0|1|2|3|4,人民代表大会|人民当家作主|规范化|依法治国|中国共产党的领导|以人为本|财政收入支出与预算|公开|公正|材料表明|金融工具、市场与风险|以人为本|信用、资本与流程监管|资源配置与制度分析
